,event,penalty,penalty_on,drew_by,coords,period,period_time_remaining,penalty_team,drew_by_team,home_team,home_team_id,away_team,away_team_id,home_goals,away_goals,penalty_on_id,drew_by_id,description
135,penalty,Tripping,Sam Lafferty,Colin White,[-93.  21.],2,08:44,PIT,OTT,PIT,5,OTT,9,3,1,8478043,8478400.0,Sam Lafferty Tripping against Colin White
203,penalty,Hooking,Conor Sheary,Jayce Hawryluk,[-16.  41.],3,14:10,PIT,OTT,PIT,5,OTT,9,5,2,8477839,8477963.0,Conor Sheary Hooking against Jayce Hawryluk
207,penalty,Tripping,Thomas Chabot,Evan Rodrigues,[71. -6.],3,13:28,OTT,PIT,PIT,5,OTT,9,5,2,8478469,8478542.0,Thomas Chabot Tripping against Evan Rodrigues
218,penalty,Hooking,Brian Dumoulin,Brady Tkachuk,[-68.  -8.],3,10:37,PIT,OTT,PIT,5,OTT,9,5,2,8475208,8480801.0,Brian Dumoulin Hooking against Brady Tkachuk
7,penalty,Tripping,Bobby Ryan,Brock Nelson,[-32.  35.],1,17:53,OTT,NYI,OTT,9,NYI,2,0,0,8471676,8475754.0,Bobby Ryan Tripping against Brock Nelson
29,penalty,Tripping,Devon Toews,Brady Tkachuk,[81. 32.],1,13:46,NYI,OTT,OTT,9,NYI,2,0,1,8478038,8480801.0,Devon Toews Tripping against Brady Tkachuk
38,penalty,Tripping,Noah Dobson,Jayce Hawryluk,[53. -6.],1,11:09,NYI,OTT,OTT,9,NYI,2,0,1,8480865,8477963.0,Noah Dobson Tripping against Jayce Hawryluk
107,penalty,Interference - Goalkeeper,Brady Tkachuk,Semyon Varlamov,[-85.   0.],2,15:25,OTT,NYI,OTT,9,NYI,2,1,2,8480801,8473575.0,Brady Tkachuk Interference - Goalkeeper against Semyon Varlamov
129,penalty,Hi-sticking,Jayce Hawryluk,Jordan Eberle,[-77. -14.],2,10:58,OTT,NYI,OTT,9,NYI,2,1,2,8477963,8474586.0,Jayce Hawryluk Hi-sticking against Jordan Eberle
222,penalty,Tripping,Colin White,Anders Lee,[-74.   1.],3,11:12,OTT,NYI,OTT,9,NYI,2,3,2,8478400,8475314.0,Colin White Tripping against Anders Lee
240,penalty,Tripping,Andy Greene,Brady Tkachuk,[96.  3.],3,07:38,NYI,OTT,OTT,9,NYI,2,3,2,8472382,8480801.0,Andy Greene Tripping against Brady Tkachuk
43,penalty,Too many men on the ice,Brady Tkachuk,,[15. 41.],1,12:19,OTT,SJS,SJS,28,OTT,9,0,0,8480801,,Too many men/ice served by Brady Tkachuk
79,penalty,Hooking,Jayce Hawryluk,Logan Couture,[-40.   6.],1,02:49,OTT,SJS,SJS,28,OTT,9,0,1,8477963,8474053.0,Jayce Hawryluk Hooking against Logan Couture
90,penalty,Interference - Goalkeeper,Bobby Ryan,Aaron Dell,[-84.  -5.],1,00:28,OTT,SJS,SJS,28,OTT,9,0,1,8471676,8477180.0,Bobby Ryan Interference - Goalkeeper against Aaron Dell
112,penalty,Holding,Nikolai Knyzhov,Connor Brown,[99.  1.],2,15:32,SJS,OTT,SJS,28,OTT,9,1,1,8481812,8477015.0,Nikolai Knyzhov Holding against Connor Brown
177,penalty,PS - Covering puck in crease,Radim Simek,,[88.  2.],2,00:02,SJS,OTT,SJS,28,OTT,9,1,1,8480160,,Radim Simek PS - Covering puck in crease
14,penalty,Hooking,Nikita Zaitsev,Max Jones,[83.  7.],1,18:26,OTT,ANA,ANA,24,OTT,9,0,0,8479458,8479368.0,Nikita Zaitsev Hooking against Max Jones
42,penalty,Interference,Adam Henrique,Christian Wolanin,[97. 22.],1,12:49,ANA,OTT,ANA,24,OTT,9,2,0,8474641,8478846.0,Adam Henrique Interference against Christian Wolanin
86,penalty,Cross checking,Max Jones,Andreas Englund,[93. 34.],1,02:09,ANA,OTT,ANA,24,OTT,9,4,0,8479368,8477971.0,Max Jones Cross checking against Andreas Englund
121,penalty,Slashing,Rickard Rakell,Colin White,[ 42. -21.],2,15:57,ANA,OTT,ANA,24,OTT,9,4,0,8476483,8478400.0,Rickard Rakell Slashing against Colin White
145,penalty,Hooking,Mike Reilly,Rickard Rakell,[-72.   0.],2,10:33,OTT,ANA,ANA,24,OTT,9,4,1,8476422,8476483.0,Mike Reilly Hooking against Rickard Rakell
199,penalty,Tripping,David Backes,Brady Tkachuk,[-53.  21.],3,16:30,ANA,OTT,ANA,24,OTT,9,5,1,8470655,8480801.0,David Backes Tripping against Brady Tkachuk
243,penalty,Hi-sticking,David Backes,Jayce Hawryluk,[-76. -32.],3,02:19,ANA,OTT,ANA,24,OTT,9,5,2,8470655,8477963.0,David Backes Hi-sticking against Jayce Hawryluk
46,penalty,Too many men on the ice,Brady Tkachuk,,[-47.  39.],1,08:36,OTT,LAK,LAK,26,OTT,9,1,1,8480801,,Too many men/ice served by Brady Tkachuk
49,penalty,Delaying Game - Puck over glass,Nikita Zaitsev,,[-68.  18.],1,07:41,OTT,LAK,LAK,26,OTT,9,1,1,8479458,,Nikita Zaitsev Delaying Game - Puck over glass
74,penalty,Fighting,Colin White,Austin Wagner,[79.  5.],1,01:52,OTT,LAK,LAK,26,OTT,9,1,1,8478400,8478455.0,Colin White Fighting against Austin Wagner
75,penalty,Fighting,Austin Wagner,Colin White,[80.  5.],1,01:52,LAK,OTT,LAK,26,OTT,9,1,1,8478455,8478400.0,Austin Wagner Fighting against Colin White
102,penalty,Tripping,Drew Doughty,Bobby Ryan,[48. 36.],2,16:16,LAK,OTT,LAK,26,OTT,9,1,1,8474563,8471676.0,Drew Doughty Tripping against Bobby Ryan
176,penalty,Tripping,Drew Doughty,Brady Tkachuk,[ 97. -24.],3,16:37,LAK,OTT,LAK,26,OTT,9,1,2,8474563,8480801.0,Drew Doughty Tripping against Brady Tkachuk
190,penalty,Holding,Nikita Zaitsev,Dustin Brown,[-79.   6.],3,12:44,OTT,LAK,LAK,26,OTT,9,1,2,8479458,8470606.0,Nikita Zaitsev Holding against Dustin Brown
212,penalty,Holding,Thomas Chabot,Dustin Brown,[-86.  22.],3,06:46,OTT,LAK,LAK,26,OTT,9,2,2,8478469,8470606.0,Thomas Chabot Holding against Dustin Brown
5,penalty,Tripping,Tyler Ennis,Trevor Moore,[ -9. -29.],1,19:04,OTT,TOR,TOR,10,OTT,9,0,1,8474589,8479675.0,Tyler Ennis Tripping against Trevor Moore
27,penalty,Tripping,Colin White,William Nylander,[-81. -13.],1,14:07,OTT,TOR,TOR,10,OTT,9,0,1,8478400,8477939.0,Colin White Tripping against William Nylander
