"Player","EH_ID","Season","Team","Position","Shoots","Birthday","Age","GP","TOI","TOI/GP","TOI%","OZS/60","NZS/60","DZS/60","OTF/60","OZF/60","NZF/60","DZF/60","Ice_F/60","Ice_A/60"
"Matt Hunwick","MATT.HUNWICK","10-11","COL","D","L",1985-05-21,25,50,76.88,1.54,30.32,17.95,10.15,3.12,49.17,24.97,14.83,7.02,0,0
"Matt Irwin","MATT.IRWIN","12-13","S.J","D","L",1987-11-29,24,36,66.47,1.85,35.55,27.98,9.93,4.51,39.72,37.91,12.64,7.22,0.9,0.9
"Matt Irwin","MATT.IRWIN","13-14","S.J","D","L",1987-11-29,25,62,124.1,2,36.45,20.79,7.74,5.32,43.51,28.53,14.02,7.74,0.97,0
"Matt Irwin","MATT.IRWIN","14-15","S.J","D","L",1987-11-29,26,53,68.83,1.3,26.93,20.92,6.97,4.36,49.69,29.64,12.2,6.97,0,0
"Matt Moulson","MATT.MOULSON","09-10","NYI","L","L",1983-11-01,25,79,237.08,3,46.67,28.85,6.58,0.25,21.26,47.83,8.35,2.02,0.51,0
"Matt Moulson","MATT.MOULSON","10-11","NYI","L","L",1983-11-01,26,82,254.45,3.1,53.38,33.01,4.72,1.89,15.8,52.35,10.38,3.3,0.24,0
"Matt Moulson","MATT.MOULSON","11-12","NYI","L","L",1983-11-01,27,78,245.25,3.14,63.45,29.85,4.89,0,6.61,57.74,11.01,1.22,0,0
"Matt Moulson","MATT.MOULSON","12-13","NYI","L","L",1983-11-01,28,44,145.17,3.3,64.93,33.06,6.61,0.83,7.85,62,9.51,3.31,0.41,0.41
"Matt Moulson","MATT.MOULSON","13-14","BUF","L","L",1983-11-01,29,42,130.5,3.11,59.33,33.1,7.36,0.46,10.57,54.25,11.03,1.84,0,0
"Matt Moulson","MATT.MOULSON","13-14","MIN","L","L",1983-11-01,29,20,54.08,2.7,53.72,27.74,9.99,2.22,12.2,53.25,15.53,2.22,0,0
"Matt Moulson","MATT.MOULSON","14-15","BUF","L","L",1983-11-01,30,73,200.95,2.75,58.21,29.86,7.76,1.49,11.64,51.36,11.35,4.78,1.49,0
"Matt Moulson","MATT.MOULSON","15-16","BUF","L","L",1983-11-01,31,79,154.68,1.96,38.15,30.26,8.92,0,32.58,43.06,14.35,1.55,0.39,0
"Matt Moulson","MATT.MOULSON","16-17","BUF","L","L",1983-11-01,32,78,165.02,2.12,45.45,33.81,4.36,2.18,24.72,50.54,9.45,3.64,0.73,0
"Matt Nieto","MATT.NIETO","13-14","S.J","L","L",1992-11-05,20,66,55.28,0.84,15.29,23.88,8.68,3.26,64.04,28.22,15.2,4.34,1.09,0
"Matt Nieto","MATT.NIETO","14-15","S.J","L","L",1992-11-05,21,72,68.8,0.96,18.47,25.29,9.59,3.49,50.58,34.88,16.57,7.85,1.74,0
"Matt Niskanen","MATT.NISKANEN","07-08","DAL","D","R",1986-12-06,20,78,163.87,2.1,32.47,14.65,13.18,3.66,31.85,27.09,20.5,5.13,0.73,0
"Matt Niskanen","MATT.NISKANEN","08-09","DAL","D","R",1986-12-06,21,80,201.08,2.51,38.1,24.47,9.25,0.6,26.26,43.27,14.32,1.49,0.3,0
"Matt Niskanen","MATT.NISKANEN","09-10","DAL","D","R",1986-12-06,22,73,208.78,2.86,46.56,30.18,5.46,1.72,21.84,54.89,9.48,3.45,0.29,0
"Matt Niskanen","MATT.NISKANEN","10-11","DAL","D","R",1986-12-06,23,45,92.62,2.06,34.23,29.8,8.42,1.3,25.91,55.71,14.25,4.53,1.3,0
"Matt Niskanen","MATT.NISKANEN","11-12","PIT","D","R",1986-12-06,24,73,166.03,2.27,41.6,23.85,11.2,1.81,26.02,49.87,19.15,2.17,0,0
"Matt Niskanen","MATT.NISKANEN","12-13","PIT","D","R",1986-12-06,25,39,79,2.03,38.57,25.82,11.39,1.52,21.27,52.41,21.27,5.32,1.52,0
"Matt Niskanen","MATT.NISKANEN","13-14","PIT","D","R",1986-12-06,26,81,238.92,2.95,56.2,27.62,4.77,1,16.32,53.74,8.79,5.78,2.26,0
"Matt Niskanen","MATT.NISKANEN","14-15","WSH","D","R",1986-12-06,27,80,87.28,1.09,24.56,37.12,14.44,2.06,39.87,60.49,20.62,4.12,0.69,0
"Matt Niskanen","MATT.NISKANEN","15-16","WSH","D","R",1986-12-06,28,80,188.6,2.36,48.79,29.59,6.36,0.95,21,53.13,12.73,3.5,0.64,0
"Matt Niskanen","MATT.NISKANEN","16-17","WSH","D","R",1986-12-06,29,76,138.57,1.82,36.72,26.41,6.49,2.16,27.28,54.12,9.96,5.63,1.3,0
"Matt Niskanen","MATT.NISKANEN","19-20","PHI","D","R",1986-12-06,32,68,136.97,2.01,39.24,17.08,7.45,1.31,47.75,27.6,10.51,3.94,0,0
"Matt Pettinger","MATT.PETTINGER","07-08","WSH","L","L",1980-10-22,26,56,68.88,1.23,20.14,22.65,13.94,0.87,36.59,31.36,20.91,2.61,0,0
"Matt Read","MATT.READ","11-12","PHI","R","R",1986-06-14,25,77,189.52,2.46,37.22,24.38,6.33,0.95,37.04,37.36,10.13,3.48,0.95,0
"Matt Read","MATT.READ","12-13","PHI","R","R",1986-06-14,26,42,77.83,1.85,32.19,17.73,8.48,2.31,50.11,26.98,17.73,3.08,0,0
"Matt Read","MATT.READ","13-14","PHI","R","R",1986-06-14,27,75,119.4,1.59,28.21,19.6,11.06,2.51,44.22,27.14,16.08,4.52,1.01,0
"Matt Read","MATT.READ","14-15","PHI","R","R",1986-06-14,28,79,127.52,1.61,32.45,23.06,11.29,3.76,46.58,29.17,15.06,6.59,1.41,0
"Matt Read","MATT.READ","15-16","PHI","R","R",1986-06-14,29,79,102.12,1.29,23.57,21.74,11.75,2.35,55.82,29.96,14.1,3.53,0.59,0
"Matt Stajan","MATT.STAJAN","07-08","TOR","C","L",1983-12-19,23,82,143.87,1.75,26.31,19.18,10.43,4.17,46.71,35.03,20.02,6.26,1.67,0
"Matt Stajan","MATT.STAJAN","08-09","TOR","C","L",1983-12-19,24,74,163.07,2.2,35.77,33.85,7.73,2.21,29.07,52.25,13.61,5.15,1.1,0
"Matt Stajan","MATT.STAJAN","09-10","CGY","C","L",1983-12-19,25,27,73.95,2.74,52.29,29.21,4.87,0.81,17.04,52.74,10.55,2.43,0.81,0
"Matt Stajan","MATT.STAJAN","09-10","TOR","C","L",1983-12-19,25,54,135.2,2.5,42.6,31.51,7.1,0.44,12.43,54.14,15.53,3.55,1.78,0
"Matt Stajan","MATT.STAJAN","10-11","CGY","C","L",1983-12-19,26,76,79.5,1.05,17.34,36.23,5.28,1.51,38.49,53.58,9.81,4.53,0,0
"Matt Taormina","MATT.TAORMINA","10-11","N.J","D","L",1986-10-20,23,17,51.97,3.06,57.53,20.78,6.93,0,15.01,40.41,11.55,1.15,0,0
"Matthew Lombardi","MATTHEW.LOMBARDI","07-08","CGY","C","L",1982-03-18,25,82,90.05,1.1,16.92,17.32,9.99,4.66,70.63,25.99,17.32,7.33,0.67,0
"Matthew Lombardi","MATTHEW.LOMBARDI","08-09","ARI","C","L",1982-03-18,26,18,60.1,3.34,50.81,22.96,5.99,1,23.96,43.93,10.98,3.99,1,0
"Matthew Lombardi","MATTHEW.LOMBARDI","08-09","CGY","C","L",1982-03-18,26,48,88.75,1.85,26.68,23.66,11.49,2.03,44.62,35.15,16.23,4.06,0.68,0
"Matthew Lombardi","MATTHEW.LOMBARDI","09-10","ARI","C","L",1982-03-18,27,76,246.97,3.25,51,29.64,6.07,0.73,16.03,48.35,10.45,2.92,0.73,0.24
"Matthew Tkachuk","MATTHEW.TKACHUK","16-17","CGY","L","L",1997-12-11,18,74,152.5,2.06,39.88,18.49,5.9,1.18,46.43,32.26,9.44,4.72,1.97,0
"Matthew Tkachuk","MATTHEW.TKACHUK","17-18","CGY","L","L",1997-12-11,19,67,190.55,2.84,52.04,27.08,5.98,0.63,22.36,47.55,10.08,2.52,0.63,0.31
"Matthew Tkachuk","MATTHEW.TKACHUK","18-19","CGY","L","L",1997-12-11,20,78,247.82,3.18,57.93,30.99,5.57,0.48,11.86,50.6,8.72,1.21,0.48,0
"Matthew Tkachuk","MATTHEW.TKACHUK","19-20","CGY","L","L",1997-12-11,21,67,183.67,2.74,61.83,29.07,5.55,0,6.21,59.45,8.49,0.33,0,0
"Mattias Ekholm","MATTIAS.EKHOLM","15-16","NSH","D","L",1990-05-24,25,82,91.35,1.11,22.04,26.27,5.25,2.63,36.12,42.04,5.91,4.6,0,0
"Mattias Ekholm","MATTIAS.EKHOLM","16-17","NSH","D","L",1990-05-24,26,81,115.68,1.43,28.26,30.08,6.74,2.59,27.49,46.68,9.85,4.67,0.52,0
"Mattias Ekholm","MATTIAS.EKHOLM","17-18","NSH","D","L",1990-05-24,27,78,149.38,1.92,36.73,26.91,10.04,0.8,26.51,45.79,12.45,2.41,0.8,0.8
"Mattias Ekholm","MATTIAS.EKHOLM","18-19","NSH","D","L",1990-05-24,28,79,107.38,1.36,26.96,30.17,8.94,2.24,36.32,48.61,15.09,5.03,0.56,0
"Mattias Ekholm","MATTIAS.EKHOLM","19-20","NSH","D","L",1990-05-24,29,67,86.22,1.29,25.5,25.75,5.57,1.39,54.98,39.67,7.65,3.48,1.39,0
"Mattias Janmark","MATTIAS.JANMARK","17-18","DAL","C","L",1992-12-08,24,77,124.18,1.61,33.15,27.06,8.21,2.42,43.97,34.31,10.15,5.31,1.45,0
"Mattias Ohlund","MATTIAS.OHLUND","07-08","VAN","D","L",1976-09-09,31,53,175.63,3.31,49.26,23.23,9.91,1.71,26.99,43.39,18.45,4.78,1.02,0
"Mattias Ohlund","MATTIAS.OHLUND","08-09","VAN","D","L",1976-09-09,32,81,188.73,2.33,34.54,22.89,6.68,1.91,45.78,38.15,11.13,3.5,0.95,0
"Mattias Ohlund","MATTIAS.OHLUND","09-10","T.B","D","L",1976-09-09,33,67,80.33,1.2,19.11,27.64,11.2,6.72,47.8,35.85,17.93,11.95,0.75,0
"Mattias Tedenby","MATTIAS.TEDENBY","10-11","N.J","L","L",1990-02-21,20,56,108,1.93,40.96,22.78,5.56,1.67,45,34.44,8.89,2.22,0.56,0
"Max Comtois","MAX.COMTOIS","19-20","ANA","L","L",1999-01-08,20,28,62.37,2.23,47.09,33.67,6.73,0,25.01,45.21,8.66,1.92,0.96,0
"Max Domi","MAX.DOMI","15-16","ARI","C","L",1995-03-02,20,81,229.65,2.84,49.04,28.48,8.88,0.78,28.48,48.86,13.85,4.18,0.78,0
"Max Domi","MAX.DOMI","16-17","ARI","C","L",1995-03-02,21,56,141.9,2.53,52.82,33.4,6.77,0.42,11.42,53.28,10.57,2.54,1.27,0
"Max Domi","MAX.DOMI","17-18","ARI","C","L",1995-03-02,22,81,197.33,2.44,53.07,29.19,7.3,0.91,18.24,50.47,10.95,2.74,0.91,0
"Max Domi","MAX.DOMI","18-19","MTL","C","L",1995-03-02,23,78,202.1,2.59,53.37,29.69,5.94,0.89,17.52,47.8,10.69,1.19,0,0
"Max Domi","MAX.DOMI","19-20","MTL","C","L",1995-03-02,24,68,153.52,2.26,50.07,33.61,4.69,0.39,20.32,53.15,7.82,2.74,1.56,0
"Max Pacioretty","MAX.PACIORETTY","10-11","MTL","L","L",1988-11-20,21,37,87.23,2.36,42.27,35.08,6.88,0.69,21.32,59.15,13.76,2.06,0.69,0
"Max Pacioretty","MAX.PACIORETTY","11-12","MTL","L","L",1988-11-20,22,79,237.22,3,51.89,32.63,7.33,1.01,19.48,56.4,11.13,3.54,0.76,0
"Max Pacioretty","MAX.PACIORETTY","12-13","MTL","L","L",1988-11-20,23,44,124.88,2.84,44.93,31.71,9.13,2.4,16.34,54.29,13.45,2.88,0,0
"Max Pacioretty","MAX.PACIORETTY","13-14","MTL","L","L",1988-11-20,24,72,210.55,2.92,52.05,33.06,5.98,0.85,13.11,55.57,10.26,3.13,1.42,0.28
"Max Pacioretty","MAX.PACIORETTY","14-15","MTL","L","L",1988-11-20,25,78,196.1,2.51,51.85,40.08,7.04,0.92,11.32,55.99,8.87,2.14,0.92,0
"Max Pacioretty","MAX.PACIORETTY","15-16","MTL","L","L",1988-11-20,26,79,229.5,2.91,53.99,39.48,8.89,1.05,13.33,54.9,12.55,2.88,0.52,0
"Max Pacioretty","MAX.PACIORETTY","16-17","MTL","L","L",1988-11-20,27,81,207.7,2.56,57.18,31.49,6.64,0.29,11.27,50.55,10.69,2.02,0.58,0
"Max Pacioretty","MAX.PACIORETTY","17-18","MTL","L","L",1988-11-20,28,62,187.1,3.02,61.01,34.31,5.13,0.64,8.98,59.65,11.22,1.6,0.32,0
"Max Pacioretty","MAX.PACIORETTY","18-19","VGK","L","L",1988-11-20,29,66,159.57,2.42,53.54,29.7,3.38,0.38,14.29,53.39,7.14,1.5,0.75,0
"Max Pacioretty","MAX.PACIORETTY","19-20","VGK","L","L",1988-11-20,30,69,165.32,2.4,54.62,34.48,4.72,0.73,15.97,59.52,9.8,1.81,0.73,0
"Maxim Afinogenov","MAXIM.AFINOGENOV","07-08","BUF","R","L",1979-09-04,28,55,171.97,3.13,44.53,16.05,6.98,2.79,32.45,34.54,15,5.58,0.7,0
"Maxim Afinogenov","MAXIM.AFINOGENOV","08-09","BUF","R","L",1979-09-04,29,48,107.63,2.24,34.38,23.41,5.57,2.23,39.02,40.14,11.71,3.9,0,0
"Maxim Afinogenov","MAXIM.AFINOGENOV","09-10","ATL","R","L",1979-09-04,30,82,249.43,3.04,48.07,26.46,4.81,1.2,25.74,40.65,9.38,3.37,0.24,0
"Maxime Lajoie","MAXIME.LAJOIE","18-19","OTT","D","L",1997-11-05,20,55,92.2,1.68,34.72,30.59,5.86,1.3,37.74,39.05,11.06,2.6,0,0
"Melker Karlsson","MELKER.KARLSSON","14-15","S.J","C","R",1990-07-18,24,53,54.08,1.02,20.93,24.41,7.77,5.55,52.14,31.07,13.31,6.66,0,0
"Michael Amadio","MICHAEL.AMADIO","19-20","L.A","C","R",1996-05-13,23,66,97.75,1.48,33.59,27.62,3.07,1.23,47.88,45.42,6.14,3.68,1.23,0
"Michael Del Zotto","MICHAEL.DEL ZOTTO","09-10","NYR","D","L",1990-06-24,19,80,300.5,3.76,66.29,28.35,6.19,0.4,5.59,56.71,10.58,1.8,0.8,0
"Michael Del Zotto","MICHAEL.DEL ZOTTO","10-11","NYR","D","L",1990-06-24,20,45,167.72,3.73,59.52,27.55,5.37,1.79,8.94,51.51,10.02,3.58,1.43,0
"Michael Del Zotto","MICHAEL.DEL ZOTTO","11-12","NYR","D","L",1990-06-24,21,76,311.97,4.1,74.79,27.31,4.81,0.19,4.62,49.24,9.81,0.96,0.19,0
"Michael Del Zotto","MICHAEL.DEL ZOTTO","12-13","NYR","D","L",1990-06-24,22,46,130.13,2.83,54.49,26.28,5.07,0.46,16.14,46.57,8.76,1.84,0.92,0
"Michael Del Zotto","MICHAEL.DEL ZOTTO","13-14","NYR","D","L",1990-06-24,23,42,79,1.88,36.29,23.54,6.08,3.8,40.25,37.22,11.39,7.59,2.28,0
"Michael Del Zotto","MICHAEL.DEL ZOTTO","14-15","PHI","D","L",1990-06-24,24,63,107.55,1.71,33.91,15.06,11.16,3.91,47.42,30.68,15.62,5.58,0.56,0
"Michael Del Zotto","MICHAEL.DEL ZOTTO","15-16","PHI","D","L",1990-06-24,25,52,69.37,1.33,25.94,25.95,9.51,4.32,44.98,34.6,12.97,5.19,0,0
"Michael Del Zotto","MICHAEL.DEL ZOTTO","17-18","VAN","D","L",1990-06-24,27,81,73.42,0.91,19.43,22.06,8.17,1.63,49.03,35.96,12.26,4.9,0.82,0
"Michael Frolik","MICHAEL.FROLIK","08-09","FLA","C","L",1988-02-17,20,77,172.1,2.24,36.73,18.13,6.28,1.74,47.76,28.24,9.76,2.44,0.35,0
"Michael Frolik","MICHAEL.FROLIK","09-10","FLA","C/R","L",1988-02-17,21,82,220.37,2.69,45.36,31.04,8.98,2.18,27.77,46.56,11.98,3.27,0.27,0
"Michael Frolik","MICHAEL.FROLIK","10-11","FLA","R","L",1988-02-17,22,52,105.18,2.02,36.79,21.11,11.41,2.28,41.07,32.52,15.4,2.85,0,0
"Michael Frolik","MICHAEL.FROLIK","13-14","WPG","R","L",1988-02-17,25,79,78.42,0.99,19.2,31.37,11.48,1.53,48.97,47.44,16.83,4.59,2.3,0
"Michael Frolik","MICHAEL.FROLIK","14-15","WPG","R","L",1988-02-17,26,79,131.92,1.67,31.05,22.74,6.37,4.09,45.48,33.66,13.64,7.73,1.82,0
"Michael Frolik","MICHAEL.FROLIK","16-17","CGY","R","L",1988-02-17,28,80,95.75,1.2,22.97,22.56,6.89,1.25,52.01,36.34,11.28,4.39,2.51,0
"Michael Grabner","MICHAEL.GRABNER","10-11","NYI","R","L",1987-10-05,22,76,68.67,0.9,15.67,27.09,7.86,1.75,41.94,40.19,12.23,3.49,0.87,0
"Michael Grabner","MICHAEL.GRABNER","11-12","NYI","R","L",1987-10-05,23,74,59.82,0.81,16.37,26.08,9.03,2.01,54.16,37.11,11.03,3.01,0,0
"Michael Kostka","MICHAEL.KOSTKA","12-13","TOR","D","R",1985-11-28,26,34,85.73,2.52,46.21,20.3,8.4,3.5,26.6,40.59,11.2,5.6,1.4,0
"Michael Nylander","MICHAEL.NYLANDER","07-08","WSH","C","L",1972-10-03,34,40,187.83,4.7,71.66,20.12,10.86,0.64,10.22,38.33,18.53,1.28,0,0
"Michael Nylander","MICHAEL.NYLANDER","08-09","WSH","C","L",1972-10-03,35,72,154.78,2.15,37.36,17.06,6.59,1.94,42.25,31.01,12.79,3.49,0.78,0
"Michael Peca","MICHAEL.PECA","07-08","CBJ","C","R",1974-03-26,33,65,154.57,2.38,35.96,25.62,17.08,2.72,26.01,39.21,26.4,3.88,0.39,0
"Michael Peca","MICHAEL.PECA","08-09","CBJ","C","R",1974-03-26,34,69,60.15,0.87,13.46,25.94,16.96,4.99,51.87,37.91,19.95,6.98,1,0
"Michael Raffl","MICHAEL.RAFFL","15-16","PHI","L","L",1988-12-01,26,82,104.9,1.28,23.3,25.74,13.73,2.29,43.47,42.9,17.73,2.86,0.57,0
"Michael Rasmussen","MICHAEL.RASMUSSEN","18-19","DET","C","L",1999-04-17,19,61,108.48,1.78,42.54,34.85,4.98,2.21,27.1,45.91,9.96,4.42,1.66,0
"Michael Ryder","MICHAEL.RYDER","07-08","MTL","R","R",1980-03-31,27,70,134,1.91,28.84,27.76,17.01,2.24,25.07,42.99,21.49,3.13,0,0.45
"Michael Ryder","MICHAEL.RYDER","08-09","BOS","R","R",1980-03-31,28,73,219.93,3.01,51.88,37.92,5.46,1.09,12.28,59.2,9.82,2.46,0.55,0
"Michael Ryder","MICHAEL.RYDER","09-10","BOS","R","R",1980-03-31,29,81,180.18,2.22,43.8,28.31,6.33,0.67,22.64,47.95,11.99,3.66,1,0
"Michael Ryder","MICHAEL.RYDER","10-11","BOS","R","R",1980-03-31,30,77,164.3,2.13,37.53,24.47,6.57,1.46,33.96,42,13.88,3.65,0.37,0
"Michael Ryder","MICHAEL.RYDER","11-12","DAL","R","R",1980-03-31,31,78,210.72,2.7,53.96,29.33,6.55,0.57,16.23,45.27,11.67,2.85,0.85,0
"Michael Ryder","MICHAEL.RYDER","12-13","DAL","R","R",1980-03-31,32,19,54.67,2.88,48.6,25.24,12.07,1.1,21.95,36.22,17.56,2.19,0,0
"Michael Ryder","MICHAEL.RYDER","12-13","MTL","R","R",1980-03-31,32,27,75.25,2.79,45.24,30.3,5.58,0,24.72,42.26,11.16,2.39,1.59,0
"Michael Ryder","MICHAEL.RYDER","13-14","N.J","R","R",1980-03-31,33,82,184.6,2.25,46.32,24.05,6.18,3.25,30.88,42.25,13.65,4.88,0.33,0
"Michael Ryder","MICHAEL.RYDER","14-15","N.J","R","R",1980-03-31,34,45,66.58,1.48,31.34,34.24,3.6,0,31.54,50.47,6.31,0.9,0,0
"Michael Stone","MICHAEL.STONE","13-14","ARI","D","R",1990-06-07,23,70,88.43,1.26,24.08,26.46,10.18,0,46.82,42.07,15.61,2.71,1.36,0
"Michael Stone","MICHAEL.STONE","14-15","ARI","D","R",1990-06-07,24,77,88.02,1.14,24.32,15.68,8.18,2.04,67.48,33.4,14.31,5.45,0.68,0
"Michael Stone","MICHAEL.STONE","15-16","ARI","D","R",1990-06-07,25,75,196.93,2.63,44.72,26.51,10.66,0.91,24.98,54.23,18.28,3.35,1.22,0
"Michael Stone","MICHAEL.STONE","16-17","ARI","D","R",1990-06-07,26,44,72.08,1.64,33.75,23.31,5.83,4.16,41.62,44.12,13.32,6.66,0.83,0
"Michael York","MICHAEL.YORK","07-08","ARI","L","R",1978-01-03,29,62,105.8,1.71,26.39,17.58,16.45,2.84,43.1,26.09,21.55,4.54,0,0.57
"Michal Handzus","MICHAL.HANDZUS","08-09","L.A","C","L",1977-03-11,31,81,230.32,2.84,43.31,38.03,6.25,1.56,24.75,53.4,11.72,3.13,1.3,0
"Michal Handzus","MICHAL.HANDZUS","09-10","L.A","C","L",1977-03-11,32,80,188.88,2.36,41.75,34.94,9.21,1.27,24.78,47.33,13.34,2.22,0.95,0
"Michal Handzus","MICHAL.HANDZUS","10-11","L.A","C","L",1977-03-11,33,80,215.85,2.7,44.86,33.36,7.23,1.39,28.35,49.2,11.67,3.89,1.39,0
"Michal Handzus","MICHAL.HANDZUS","11-12","S.J","C","L",1977-03-11,34,67,70.8,1.06,20.3,38.14,13.56,1.69,49.15,46.61,21.19,1.69,0,0
"Michal Rozsival","MICHAL.ROZSIVAL","07-08","NYR","D","R",1978-09-03,29,80,281.2,3.51,52.12,19.2,11.95,0.85,24.96,40.75,17.5,2.99,1.28,0
"Michal Rozsival","MICHAL.ROZSIVAL","08-09","NYR","D","R",1978-09-03,30,76,241.82,3.18,50.82,24.07,6.7,1.24,25.31,46.4,10.92,2.73,0.5,0
"Michal Rozsival","MICHAL.ROZSIVAL","09-10","NYR","D","R",1978-09-03,31,82,152.88,1.86,33.16,18.84,11.38,4.32,32.97,34.14,17.66,7.85,1.57,0
"Michal Rozsival","MICHAL.ROZSIVAL","10-11","NYR","D","R",1978-09-03,32,32,95.02,2.97,46.69,23.99,6.31,2.53,26.52,42.31,16.42,3.16,1.26,0
"Micheal Ferland","MICHEAL.FERLAND","15-16","CGY","L","L",1992-04-20,23,70,69.45,0.99,19.05,28.51,8.64,4.32,50.11,43.2,12.1,6.91,0.86,0
"Micheal Ferland","MICHEAL.FERLAND","17-18","CGY","L","L",1992-04-20,25,76,139.08,1.83,35.23,28.04,6.9,1.29,26.75,53.93,9.92,2.16,0.43,0
"Micheal Ferland","MICHEAL.FERLAND","18-19","CAR","L","L",1992-04-20,26,69,133.47,1.93,41.47,37.31,6.29,1.35,22.93,54.39,12.14,2.7,0,0
"Michel Ouellet","MICHEL.OUELLET","07-08","T.B","R","R",1982-03-05,25,64,119.42,1.87,33.24,21.1,14.57,1,31.65,36.17,22.11,2.51,0.5,0.5
"Mika Zibanejad","MIKA.ZIBANEJAD","12-13","OTT","C","R",1993-04-18,19,40,76.62,1.92,35.5,36.02,3.92,0.78,35.24,47.77,10.18,3.92,1.57,0
"Mika Zibanejad","MIKA.ZIBANEJAD","13-14","OTT","C","R",1993-04-18,20,69,128.35,1.86,36.48,29.92,10.75,1.87,26.18,46.28,16.36,3.74,0.93,0
"Mika Zibanejad","MIKA.ZIBANEJAD","14-15","OTT","C","R",1993-04-18,21,80,201.25,2.52,44.95,32.5,6.26,1.19,26.24,50.39,13.12,3.28,1.79,0
"Mika Zibanejad","MIKA.ZIBANEJAD","15-16","OTT","C","R",1993-04-18,22,79,190.67,2.41,48.93,32.41,5.66,0.63,19.51,54.44,10.07,2.2,1.26,0
"Mika Zibanejad","MIKA.ZIBANEJAD","16-17","NYR","C","R",1993-04-18,23,52,128.12,2.46,51.1,33.72,5.62,1.87,15.92,59.01,9.37,4.21,0.47,0
"Mika Zibanejad","MIKA.ZIBANEJAD","17-18","NYR","C","R",1993-04-18,24,71,207.1,2.92,60.29,39.4,4.93,0.29,8.11,63.16,7.24,4.06,2.03,0
"Mika Zibanejad","MIKA.ZIBANEJAD","18-19","NYR","C","R",1993-04-18,25,78,220.93,2.83,61.86,32.59,5.97,0.54,7.88,54.04,9.78,2.44,1.36,0
"Mika Zibanejad","MIKA.ZIBANEJAD","19-20","NYR","C","R",1993-04-18,26,56,195.03,3.48,68.94,27.69,4.61,0.31,4.92,55.38,6.15,2.77,0.92,0
"Mikael Backlund","MIKAEL.BACKLUND","13-14","CGY","C","L",1989-03-17,24,70,129.62,1.85,37.19,36.57,8.79,0.93,24.07,60.18,13.42,1.39,0,0
"Mikael Backlund","MIKAEL.BACKLUND","14-15","CGY","C","L",1989-03-17,25,51,86.27,1.69,33.95,25.73,6.95,4.17,39.64,40.34,13.91,6.95,0,0
"Mikael Backlund","MIKAEL.BACKLUND","15-16","CGY","C","L",1989-03-17,26,81,126.3,1.56,29.56,20.9,5.23,3.33,48.93,30.4,11.88,4.75,1.43,0
"Mikael Backlund","MIKAEL.BACKLUND","16-17","CGY","C","L",1989-03-17,27,79,162.18,2.05,39.47,20.72,7.4,1.85,45.5,33.67,10.73,4.07,1.48,0
"Mikael Backlund","MIKAEL.BACKLUND","17-18","CGY","C","L",1989-03-17,28,81,171.32,2.12,40.01,26.97,7.7,0.7,35.37,42.73,13.66,2.1,0.35,0
"Mikael Backlund","MIKAEL.BACKLUND","18-19","CGY","C","L",1989-03-17,29,75,124.45,1.66,30.34,25.55,7.71,2.41,40.98,37.12,11.57,2.41,0,0
"Mikael Backlund","MIKAEL.BACKLUND","19-20","CGY","C","L",1989-03-17,30,68,95.95,1.41,31.77,22.51,8.13,0.63,46.9,42.52,13.76,2.5,1.25,0
"Mikael Granlund","MIKAEL.GRANLUND","13-14","MIN","C","L",1992-02-26,21,63,155.17,2.46,45.76,26.29,4.64,2.71,27.07,40.99,11.99,4.64,0.39,0
"Mikael Granlund","MIKAEL.GRANLUND","14-15","MIN","C","L",1992-02-26,22,66,139.45,2.11,41.75,21.08,4.73,2.15,35.28,40.01,9.9,3.87,0.43,0
"Mikael Granlund","MIKAEL.GRANLUND","15-16","MIN","C","L",1992-02-26,23,80,201.45,2.52,47.15,30.38,5.06,1.19,21.44,51.53,10.13,3.87,0.3,0
"Mikael Granlund","MIKAEL.GRANLUND","16-17","MIN","C","L",1992-02-26,24,81,173.97,2.15,46.33,30.69,5.17,1.72,24.83,48.28,8.62,3.1,0.69,0
"Mikael Granlund","MIKAEL.GRANLUND","17-18","MIN","C","L",1992-02-26,25,76,186.52,2.45,51.91,38.28,4.18,0.64,16.08,55.01,8.36,1.93,0.97,0
"Mikael Granlund","MIKAEL.GRANLUND","18-19","MIN","C","L",1992-02-26,26,60,162.42,2.71,53.49,26.6,6.65,0,14.41,49.5,12.56,3.32,0.74,0
"Mikael Granlund","MIKAEL.GRANLUND","19-20","NSH","C","L",1992-02-26,27,62,147.42,2.38,46.94,29.3,4.07,1.63,22.39,53.72,7.33,2.04,0,0
"Mikael Samuelsson","MIKAEL.SAMUELSSON","07-08","DET","R","R",1976-12-23,30,73,188.77,2.59,38.3,20.98,11.44,1.91,34.96,37.19,17.48,3.5,0.32,0
"Mikael Samuelsson","MIKAEL.SAMUELSSON","08-09","DET","R","R",1976-12-23,31,80,210.38,2.63,42.64,29.95,5.99,1.14,30.52,48.77,9.98,2.57,0.29,0
"Mikael Samuelsson","MIKAEL.SAMUELSSON","09-10","VAN","R","R",1976-12-23,32,74,216.25,2.92,48.51,29.97,6.38,1.39,23.86,49.66,8.88,3.05,0.55,0
"Mikael Samuelsson","MIKAEL.SAMUELSSON","10-11","VAN","R","R",1976-12-23,33,73,181.98,2.49,45.01,26.71,5.93,1.98,27.7,46.49,8.9,3.63,0.66,0
