"Player","EH_ID","Season","Team","Position","Shoots","Birthday","Age","GP","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±","Sh%","Sv%"
"Manny Malhotra","MANNY.MALHOTRA","07-08","CBJ","C","L",1980-05-18,27,71,82.3,77.61,86.84,87.72,88.28,88.98,4.09,1.18,64.14,9.72,83.49,11.69,113.74,15.1,7.43,0.92,2.91,54.42,71.8,98.64,6.51,6.38,87.86
"Manny Malhotra","MANNY.MALHOTRA","08-09","CBJ","C","L",1980-05-18,28,74,81.05,92.05,87.35,89.29,88.43,92.83,11.47,0.99,61.04,8.84,90.93,10.91,119.81,15.68,8.03,0.62,10.48,52.2,80.02,104.13,7.41,18.79,88.8
"Manny Malhotra","MANNY.MALHOTRA","09-10","S.J","C","L",1980-05-18,29,70,97.05,81.32,87.36,88.12,89.09,89.94,13.8,3.17,97.38,14.09,132.95,17.92,185.6,22.73,11.09,1.24,10.63,83.29,115.03,162.87,9.85,14.17,77.5
"Manny Malhotra","MANNY.MALHOTRA","10-11","VAN","C","L",1980-05-18,30,70,54.13,100,84,86.38,88.19,88.43,8.5,0,40.62,7.74,54.54,8.6,71.16,9.53,3.82,0.5,8.5,32.88,45.94,61.63,3.32,20.93,100
"Marc-Andre Bergeron","MARC-ANDRE.BERGERON","07-08","NYI","D","L",1980-10-13,26,46,189.7,77.34,82.1,82.95,86.97,85.62,19.93,5.84,137.02,29.87,185.6,38.15,274.9,41.2,16.44,2.76,14.09,107.15,147.45,233.7,13.68,14.55,80.45
"Marc-Andre Bergeron","MARC-ANDRE.BERGERON","08-09","MIN","D","L",1980-10-13,27,71,219.3,92.99,85.12,86.6,89.57,93.94,25.75,1.94,173.41,30.32,245.3,37.94,344.24,40.08,19.69,1.27,23.81,143.09,207.36,304.16,18.42,14.85,93.6
"Marc-Andre Bergeron","MARC-ANDRE.BERGERON","09-10","MTL","D","L",1980-10-13,28,59,164.5,96.53,83.34,84.38,85.87,84.46,30.04,1.08,161.26,32.24,215.03,39.82,280.1,46.08,19.51,3.59,28.96,129.02,175.21,234.02,15.92,18.63,96.65
"Marc-Andre Bergeron","MARC-ANDRE.BERGERON","10-11","T.B","D","L",1980-10-13,29,22,73.1,76.11,76.66,75.76,77.7,78.49,8.73,2.74,53.81,16.38,77.65,24.85,101.29,29.07,6.46,1.77,5.99,37.43,52.8,72.22,4.69,16.22,83.27
"Marc-Andre Bergeron","MARC-ANDRE.BERGERON","11-12","T.B","D","L",1980-10-13,30,42,108.78,80.67,72.56,74.14,75.04,78.63,8.85,2.12,71.62,27.09,105.98,36.97,142.81,47.51,7.91,2.15,6.73,44.53,69.01,95.3,5.76,12.36,92.17
"Marc-Andre Gragnani","MARC-ANDRE.GRAGNANI","11-12","BUF","D","L",1987-03-11,24,43,112.18,83.84,84.66,83.07,85.43,83.49,10.79,2.08,98.57,17.86,129.03,26.3,170.66,29.11,11.23,2.22,8.71,80.71,102.73,141.55,9.01,10.95,88.35
"Marc-Antoine Pouliot","MARC-ANTOINE.POULIOT","08-09","EDM","C","R",1985-05-22,23,63,63.17,100,81.15,84.16,85.32,88.22,5.93,0,42.06,9.77,62.79,11.82,84.44,14.53,6.29,0.84,5.93,32.29,50.97,69.91,5.45,14.1,100
"Marc-Edouard Vlasic","MARC-EDOUARD.VLASIC","07-08","S.J","D","L",1987-03-30,20,82,68.68,100,84.13,84.44,86.74,91.94,4.89,0,43.21,8.15,71.45,13.17,91.33,13.96,5.13,0.45,4.89,35.06,58.28,77.37,4.68,11.32,100
"Marc-Edouard Vlasic","MARC-EDOUARD.VLASIC","08-09","S.J","D","L",1987-03-30,21,82,236.75,91.16,87.46,88.65,90.17,93.48,31.47,3.05,211.12,30.27,285.65,36.58,416.44,45.38,24.94,1.74,28.42,180.85,249.07,371.06,23.2,14.91,89.92
"Marc-Edouard Vlasic","MARC-EDOUARD.VLASIC","09-10","S.J","D","L",1987-03-30,22,63,108.8,85.15,83.96,86.7,89.34,91.98,12.56,2.19,97.29,18.59,139.85,21.46,194.47,23.21,12.05,1.05,10.37,78.7,118.39,171.26,11,12.91,88.22
"Marc-Edouard Vlasic","MARC-EDOUARD.VLASIC","10-11","S.J","D","L",1987-03-30,23,79,69.12,100,91.69,89.78,92.11,90.38,4.12,0,73.33,6.65,103.36,11.77,149.65,12.82,9.02,0.96,4.12,66.68,91.59,136.83,8.06,5.62,100
"Marc-Edouard Vlasic","MARC-EDOUARD.VLASIC","13-14","S.J","D","L",1987-03-30,26,81,55.85,100,93.27,93.92,92.7,97.04,3.86,0,62.46,4.51,83.93,5.43,103.76,8.17,8.52,0.26,3.86,57.95,78.5,95.59,8.26,6.18,100
"Marc-Edouard Vlasic","MARC-EDOUARD.VLASIC","14-15","S.J","D","L",1987-03-30,27,70,96.1,84.91,84.98,84.51,86.65,91.62,6.64,1.18,67.24,11.88,93.73,17.18,139.54,21.49,8.42,0.77,5.46,55.36,76.55,118.05,7.65,9.88,90.07
"Marc-Edouard Vlasic","MARC-EDOUARD.VLASIC","15-16","S.J","D","L",1987-03-30,28,64,132.62,93.08,81.08,82.36,84.9,88.56,14.52,1.08,85.01,19.84,123.86,26.53,179.95,32,11.69,1.51,13.44,65.17,97.33,147.95,10.18,17.08,94.56
"Marc-Edouard Vlasic","MARC-EDOUARD.VLASIC","16-17","S.J","D","L",1987-03-30,29,75,139.13,91.01,90.1,89.55,89.72,93.51,9.41,0.93,116.56,12.81,154.11,17.98,208.16,23.84,12.82,0.89,8.48,103.75,136.13,184.32,11.93,8.07,92.74
"Marc-Edouard Vlasic","MARC-EDOUARD.VLASIC","17-18","S.J","D","L",1987-03-30,30,79,92.03,90.42,81.31,80.34,80.28,86.41,8.78,0.93,70.15,16.13,84.74,20.74,119.73,29.41,8.46,1.33,7.85,54.02,64,90.32,7.13,12.52,94.23
"Marc-Edouard Vlasic","MARC-EDOUARD.VLASIC","18-19","S.J","D","L",1987-03-30,31,70,54.55,100,87.13,86.88,87.44,93.54,6.96,0,50.9,7.52,58.06,8.77,82.3,11.82,6.08,0.42,6.96,43.38,49.29,70.48,5.66,13.67,100
"Marc Savard","MARC.SAVARD","07-08","BOS","C","L",1977-07-17,30,73,289.08,89.14,76.24,80.38,81.73,84.5,32.43,3.95,208.76,65.06,295.02,72.01,372.71,83.31,22.62,4.15,28.48,143.7,223.01,289.4,18.47,15.53,93.93
"Marc Savard","MARC.SAVARD","08-09","BOS","C","L",1977-07-17,31,81,279.67,87.17,86.26,86.59,87.7,90.04,39.83,5.86,285.87,45.52,384.32,59.53,488.19,68.49,32,3.54,33.97,240.35,324.79,419.7,28.46,13.93,87.13
"Marc Savard","MARC.SAVARD","09-10","BOS","C","L",1977-07-17,32,40,120.48,93.05,84.32,85.48,85.46,86.98,15.8,1.18,103.49,19.25,131.74,22.37,169.16,28.78,11.89,1.78,14.62,84.24,109.37,140.38,10.11,15.27,93.87
"Marc Savard","MARC.SAVARD","10-11","BOS","C","L",1977-07-17,33,24,71.48,100,77.13,80.79,84.02,90.4,5.09,0,57.65,17.09,82.33,19.58,107.98,20.54,6.5,0.69,5.09,40.56,62.75,87.44,5.81,8.83,100
"Marc Staal","MARC.STAAL","09-10","NYR","D","L",1987-01-13,22,82,52.03,46.28,85.35,85.73,86.13,89.37,0.87,1.01,40.2,6.9,52.8,8.79,65.51,10.55,5.13,0.61,-0.14,33.3,44.01,54.96,4.52,2.16,85.36
"Marc Staal","MARC.STAAL","10-11","NYR","D","L",1987-01-13,23,74,198.67,94.8,82.23,83.56,83.88,84.44,19.69,1.08,153.03,33.07,197.87,38.94,250.53,48.13,19.27,3.55,18.61,119.96,158.93,202.4,15.72,12.87,96.73
"Marcel Goc","MARCEL.GOC","10-11","NSH","C","L",1983-08-24,27,49,52.1,100,89.87,88.03,89.84,91.15,4.02,0,44.37,5,60.5,8.23,81.13,9.18,5.15,0.5,4.02,39.37,52.27,71.95,4.65,9.06,100
"Marcel Goc","MARCEL.GOC","11-12","FLA","C","L",1983-08-24,28,57,69.05,87.42,85.14,83.78,84.79,87.87,6.88,0.99,47.33,8.26,70.55,13.66,100.15,17.97,5.29,0.73,5.89,39.07,56.89,82.18,4.56,14.54,88.01
"Marcel Goc","MARCEL.GOC","12-13","FLA","C","L",1983-08-24,29,41,68.75,100,82.44,82.03,85.82,86.11,7.88,0,42.44,9.04,63.13,13.83,89.15,14.73,5.33,0.86,7.88,33.4,49.3,74.42,4.47,18.57,100
"Marcel Goc","MARCEL.GOC","13-14","FLA","C","L",1983-08-24,30,62,52.03,51.75,77.04,77.13,80.27,70.06,2.07,1.93,31.24,9.31,46.74,13.86,60.97,14.99,3.51,1.5,0.14,21.93,32.88,45.98,2.01,6.63,79.27
"Marco Scandella","MARCO.SCANDELLA","11-12","MIN","D","L",1990-02-23,21,63,109.87,91.21,84.24,82.43,85.28,85.12,10.27,0.99,77.02,14.41,105.02,22.38,142.44,24.59,9.55,1.67,9.28,62.61,82.64,117.85,7.88,13.33,93.13
"Marco Scandella","MARCO.SCANDELLA","17-18","BUF","D","L",1990-02-23,27,80,121.47,100,82.75,83.59,84.16,93.64,8.47,0,92.7,19.32,130.67,25.66,174.59,32.86,12.52,0.85,8.47,73.38,105.01,141.73,11.67,9.14,100
"Marco Sturm","MARCO.STURM","07-08","BOS","L","L",1978-09-08,29,78,244.8,94.02,77.62,81.52,82.53,85.49,30.51,1.94,185.77,53.57,258.65,58.63,314.5,66.56,19.73,3.35,28.57,132.2,200.02,247.94,16.38,16.42,96.38
"Marco Sturm","MARCO.STURM","08-09","BOS","L","L",1978-09-08,30,18,58.08,100,93.36,92.8,92.31,98.11,7.25,0,72.14,5.13,90.68,7.04,118.45,9.87,7.28,0.14,7.25,67.01,83.64,108.58,7.14,10.05,100
"Marco Sturm","MARCO.STURM","09-10","BOS","L","L",1978-09-08,31,75,173.8,94.67,82.53,83.5,85.08,85.83,20.97,1.18,148.28,31.39,190.6,37.65,256.37,44.97,16.72,2.76,19.79,116.89,152.95,211.4,13.96,14.14,96.24
"Marcus Foligno","MARCUS.FOLIGNO","12-13","BUF","L","L",1991-08-10,21,46,71.72,65.4,75.58,78.67,81.99,85.17,3.8,2.01,49.55,16.01,66.57,18.05,92.45,20.31,5.17,0.9,1.79,33.54,48.52,72.14,4.27,7.67,87.45
"Marcus Foligno","MARCUS.FOLIGNO","13-14","BUF","L","L",1991-08-10,22,72,80.03,56.48,84.09,86.13,89.44,86.05,2.66,2.05,60.01,11.35,81.37,13.1,111.34,13.15,7.22,1.17,0.61,48.66,68.27,98.19,6.05,4.43,81.94
"Marcus Foligno","MARCUS.FOLIGNO","14-15","BUF","L","L",1991-08-10,23,54,50.32,100,73.04,77.5,78.66,75.75,1.87,0,33.38,12.32,45.43,13.19,63.91,17.34,3.53,1.13,1.87,21.06,32.24,46.57,2.4,5.6,100
"Marcus Johansson","MARCUS.JOHANSSON","10-11","WSH","C","L",1990-10-06,19,67,65.72,77.08,90.92,91.25,90.56,91.48,6.96,2.07,62.97,6.29,97.15,9.32,117.16,12.21,7.62,0.71,4.89,56.68,87.83,104.95,6.91,11.05,67.09
"Marcus Johansson","MARCUS.JOHANSSON","11-12","WSH","C","L",1990-10-06,20,76,182.78,86.42,81.57,82.23,83.79,80.75,19.02,2.99,140.64,31.77,205.19,44.33,273.99,52.99,15.86,3.78,16.03,108.87,160.86,221,12.08,13.52,90.59
"Marcus Johansson","MARCUS.JOHANSSON","12-13","WSH","C","L",1990-10-06,21,34,54.55,100,81.85,82.86,84.13,88.09,4.12,0,35.58,7.89,49.21,10.18,69.49,13.11,4.66,0.63,4.12,27.69,39.03,56.38,4.03,11.58,100
"Marcus Johansson","MARCUS.JOHANSSON","13-14","WSH","C","L",1990-10-06,22,79,236.03,91.02,87.23,88.69,89.87,89.55,39.21,3.87,243.04,35.58,345.54,44.05,434.36,48.97,29.99,3.5,35.34,207.46,301.49,385.39,26.49,16.13,89.12
"Marcus Johansson","MARCUS.JOHANSSON","14-15","WSH","C/L","L",1990-10-06,23,80,237.83,97.36,87.06,88.86,89.83,93.15,37.19,1.01,253.73,37.7,364.71,45.73,466.58,52.83,30.2,2.22,36.18,216.03,318.98,413.75,27.98,14.66,97.32
"Marcus Johansson","MARCUS.JOHANSSON","15-16","WSH","L","L",1990-10-06,24,72,201.47,90.21,88.62,89.78,90.26,92.15,28.84,3.13,208.27,26.74,299.07,34.04,392.38,42.34,28.19,2.4,25.71,181.53,265.03,350.04,25.79,13.85,88.29
"Marcus Johansson","MARCUS.JOHANSSON","16-17","WSH","L","L",1990-10-06,25,80,229.02,94.8,88.59,89.87,90.03,90,35.38,1.94,225.09,28.98,338.18,38.13,434.76,48.13,29.89,3.32,33.44,196.11,300.05,386.63,26.57,15.72,93.31
"Marcus Johansson","MARCUS.JOHANSSON","17-18","N.J","L","L",1990-10-06,26,29,81.67,83.36,84.25,83.43,85.31,86.46,4.96,0.99,67.07,12.54,84.16,16.72,114.44,19.7,6.83,1.07,3.97,54.53,67.44,94.74,5.76,7.4,92.11
"Marcus Johansson","MARCUS.JOHANSSON","18-19","N.J","L","L",1990-10-06,27,47,123.75,77.69,78.47,80.82,83.64,80.88,10.38,2.98,93.95,25.77,126.68,30.06,163.82,32.05,10.83,2.56,7.4,68.18,96.62,131.77,8.27,11.05,88.44
"Marcus Johansson","MARCUS.JOHANSSON","19-20","BUF","L","L",1990-10-06,28,59,137.98,92.84,82.26,84.94,87.55,87.31,12.06,0.93,101.04,21.79,140.38,24.89,186.68,26.55,11.56,1.68,11.13,79.25,115.49,160.13,9.88,11.94,95.73
"Marcus Kruger","MARCUS.KRUGER","11-12","CHI","C","L",1990-05-27,21,71,102.73,100,90.61,88.87,88.03,92.55,7.37,0,74.65,7.74,94.82,11.88,130.48,17.74,8.57,0.69,7.37,66.91,82.94,112.74,7.88,9.87,100
"Marcus Pettersson","MARCUS.PETTERSSON","18-19","PIT","D","L",1996-05-08,22,56,66.65,100,86.35,86.66,87.17,89.16,8.13,0,52.13,8.24,64.5,9.93,81.1,11.94,4.44,0.54,8.13,43.89,54.57,69.16,3.9,15.6,100
"Marcus Pettersson","MARCUS.PETTERSSON","19-20","PIT","D","L",1996-05-08,23,68,60.28,100,84.56,84.81,85.64,89.63,4.96,0,41.14,7.51,54.56,9.77,77.99,13.08,5.36,0.62,4.96,33.63,44.79,64.91,4.74,12.06,100
"Marek Svatos","MAREK.SVATOS","07-08","COL","R","R",1982-06-17,25,62,147.43,88.52,82.79,83.01,84.2,83.05,9.1,1.18,122.32,25.42,157.45,32.22,198.35,37.23,13.18,2.69,7.92,96.9,125.23,161.12,10.49,7.44,95.36
"Marek Svatos","MAREK.SVATOS","08-09","COL","R","R",1982-06-17,26,69,153.93,95.38,87.89,84.2,84.68,88.05,19.18,0.93,125.83,17.34,167.02,31.33,221.15,40,15.1,2.05,18.25,108.49,135.69,181.15,13.05,15.24,94.64
"Marek Svatos","MAREK.SVATOS","09-10","COL","R","R",1982-06-17,27,54,107.88,73.27,81.07,81.99,85.04,89.94,8.28,3.02,81.92,19.13,101.04,22.2,148.52,26.12,9.48,1.06,5.26,62.79,78.84,122.4,8.42,10.11,84.21
"Marek Zidlicky","MAREK.ZIDLICKY","07-08","NSH","D","R",1977-02-03,30,79,347.92,89.07,82.75,83.06,84.7,87.98,33.66,4.13,248.67,51.83,329.47,67.19,434.29,78.44,26.71,3.65,29.53,196.84,262.28,355.85,23.06,13.54,92.03
"Marek Zidlicky","MAREK.ZIDLICKY","08-09","MIN","D","R",1977-02-03,31,75,254.62,88.23,86.25,86.99,88.32,92.22,30.97,4.13,216.44,34.51,300.94,45.01,387.91,51.28,25.14,2.12,26.84,181.93,255.93,336.63,23.02,14.31,88.03
"Marek Zidlicky","MAREK.ZIDLICKY","09-10","MIN","D","R",1977-02-03,32,77,261.23,84.74,82.81,84.11,85.45,84.76,33.92,6.11,222.73,46.23,300.26,56.73,400.99,68.28,25.91,4.66,27.81,176.5,243.53,332.71,21.25,15.23,86.78
"Marek Zidlicky","MAREK.ZIDLICKY","10-11","MIN","D","R",1977-02-03,33,46,140.58,93.57,77.34,80.2,83.29,79.17,17.16,1.18,107.86,31.61,146.55,36.19,201.02,40.34,11.63,3.06,15.98,76.25,110.36,160.68,8.57,15.91,96.27
"Marek Zidlicky","MAREK.ZIDLICKY","11-12","MIN","D","R",1977-02-03,34,41,126.43,71.15,82.14,84.53,87.06,89.87,10.11,4.1,96.13,20.9,132.11,24.17,175.97,26.15,11.98,1.35,6.01,75.23,107.94,149.82,10.63,10.52,80.38
"Marek Zidlicky","MAREK.ZIDLICKY","11-12","N.J","D","R",1977-02-03,34,22,81.35,100,82.37,84.33,85.54,81,10.83,0,63.93,13.68,89.55,16.64,114.49,19.35,7.59,1.78,10.83,50.25,72.91,95.14,5.81,16.94,100
"Marek Zidlicky","MAREK.ZIDLICKY","12-13","N.J","D","R",1977-02-03,35,48,157.63,80.71,88.33,89.19,89.35,90.04,13.01,3.11,143.63,18.98,199.64,24.2,257.95,30.76,16.55,1.83,9.9,124.65,175.44,227.19,14.72,9.06,83.61
"Marek Zidlicky","MAREK.ZIDLICKY","13-14","N.J","D","R",1977-02-03,36,81,222.33,96.09,80.44,81.68,84.51,82.22,24.83,1.01,150.35,36.55,206.27,46.25,284.12,52.06,16.97,3.67,23.82,113.8,160.02,232.06,13.3,16.51,97.24
"Marek Zidlicky","MAREK.ZIDLICKY","14-15","DET","D","R",1977-02-03,37,21,50.52,81.58,86.84,85.19,88.64,89.24,8.55,1.93,50.4,7.64,62.14,10.8,84.46,10.82,6.47,0.78,6.62,42.76,51.34,73.64,5.69,16.96,74.74
"Marek Zidlicky","MAREK.ZIDLICKY","14-15","N.J","D","R",1977-02-03,37,60,158.25,90.06,79.93,83.31,85.93,84.85,16.94,1.87,114.86,28.84,163.88,32.82,211.34,34.6,14.28,2.55,15.07,86.02,131.06,176.74,11.73,14.75,93.52
"Marek Zidlicky","MAREK.ZIDLICKY","15-16","NYI","D","R",1977-02-03,38,52,92.55,90.02,83.91,87.35,87.19,91.8,7.85,0.87,66.24,12.7,95.05,13.76,121,17.78,10.3,0.92,6.98,53.54,81.29,103.22,9.38,11.85,93.15
"Marian Gaborik","MARIAN.GABORIK","07-08","MIN","R","L",1982-02-14,25,76,248.1,80.34,81.93,82.66,84.58,83.29,29.59,7.24,219.83,48.48,285.35,59.87,372.54,67.92,23.52,4.72,22.35,171.35,225.48,304.62,18.8,13.46,85.07
"Marian Gaborik","MARIAN.GABORIK","08-09","MIN","R","L",1982-02-14,26,17,50.4,100,79.75,83.26,86.49,94.31,8.82,0,46.2,11.73,58.52,11.77,80.43,12.56,5.47,0.33,8.82,34.47,46.75,67.87,5.14,19.09,100
"Marian Gaborik","MARIAN.GABORIK","09-10","NYR","R","L",1982-02-14,27,76,266,83.89,86.4,88.48,88.24,88.53,32.69,6.28,232.17,36.53,335.4,43.67,421.87,56.23,34.1,4.42,26.41,195.64,291.73,365.64,29.68,14.08,82.81
"Marian Gaborik","MARIAN.GABORIK","10-11","NYR","R","L",1982-02-14,28,59,177.37,85.62,84.6,85.88,87.18,87.86,18.63,3.13,147.52,26.86,189.63,31.17,249.77,36.73,19.62,2.71,15.5,120.66,158.46,213.04,16.91,12.63,88.35
"Marian Gaborik","MARIAN.GABORIK","11-12","NYR","R","L",1982-02-14,29,81,268.12,96.26,86.48,87.39,88.18,90.51,26,1.01,202.59,31.68,300.78,43.42,399.62,53.55,30.91,3.24,24.99,170.91,257.36,346.07,27.67,12.83,96.81
"Marian Gaborik","MARIAN.GABORIK","12-13","NYR","R","L",1982-02-14,30,35,91.52,100,77.93,78.23,82.76,88.18,6.92,0,59.12,16.74,81.76,22.75,123.94,25.82,7.01,0.94,6.92,42.38,59.01,98.12,6.07,11.71,100
"Marian Gaborik","MARIAN.GABORIK","13-14","CBJ","R","L",1982-02-14,31,21,56,82.72,92.85,91.06,90.59,93.31,4.74,0.99,39.62,3.05,62.43,6.13,78.42,8.15,6,0.43,3.75,36.57,56.3,70.27,5.57,11.96,67.54
"Marian Gaborik","MARIAN.GABORIK","13-14","L.A","R","L",1982-02-14,31,18,55.7,87.03,94.86,93.95,92.24,92.78,7.25,1.08,55.5,3.01,74.8,4.82,95.98,8.07,7.58,0.59,6.17,52.49,69.98,87.91,6.99,13.06,64.12
"Marian Gaborik","MARIAN.GABORIK","14-15","L.A","R","L",1982-02-14,32,67,177.63,96.66,82.91,85.62,88.01,88.09,25.14,0.87,145.61,30.02,226.26,38.01,306.24,41.72,19,2.57,24.27,115.59,188.25,264.52,16.43,17.27,97.1
"Marian Gaborik","MARIAN.GABORIK","15-16","L.A","R","L",1982-02-14,33,52,95.9,90.3,90.78,91.16,91.05,91.25,9.22,0.99,96.15,9.77,132.73,12.87,179.44,17.63,11.79,1.13,8.23,86.38,119.86,161.81,10.66,9.59,89.87
"Marian Gaborik","MARIAN.GABORIK","16-17","L.A","R","L",1982-02-14,34,54,80.6,89.57,82.33,81.64,84.7,84.42,10.13,1.18,67.72,14.53,92.56,20.81,133,24.03,8.18,1.51,8.95,53.19,71.75,108.97,6.67,14.96,91.88
"Marian Gaborik","MARIAN.GABORIK","17-18","L.A","R","L",1982-02-14,35,30,53.28,100,84.23,81.98,84.89,92.54,6.39,0,57.25,10.72,66.77,14.68,87.44,15.56,6.82,0.55,6.39,46.53,52.09,71.88,6.27,11.16,100
"Marian Hossa","MARIAN.HOSSA","07-08","ATL","R","L",1979-01-12,28,60,250.48,85.75,77.27,78.09,81.85,81.81,25.15,4.18,181.88,53.51,225.53,63.27,303.77,67.38,19.65,4.37,20.97,128.37,162.26,236.39,15.28,13.83,92.19
"Marian Hossa","MARIAN.HOSSA","08-09","DET","R","L",1979-01-12,29,73,208.43,97.57,91.69,93.31,93.5,95.77,34.87,0.87,221.01,20.02,318.82,22.84,403.73,28.06,25.82,1.14,34,200.99,295.98,375.67,24.68,15.78,95.65
"Marian Hossa","MARIAN.HOSSA","09-10","CHI","R","L",1979-01-12,30,56,142.5,100,95.46,94.98,93.94,96.15,11.09,0,125.46,5.96,175.26,9.26,234.6,15.13,14.48,0.58,11.09,119.5,166,219.47,13.9,8.84,100
"Marian Hossa","MARIAN.HOSSA","10-11","CHI","R","L",1979-01-12,31,64,167.02,96.9,87.05,87.22,89.03,89.71,27.19,0.87,154.62,23.01,208.86,30.59,272.06,33.52,19.45,2.23,26.32,131.61,178.27,238.54,17.22,17.59,96.22
"Marian Hossa","MARIAN.HOSSA","11-12","CHI","R","L",1979-01-12,32,80,243.28,91.16,89.56,88.74,89.91,87.45,20.53,1.99,186.65,21.75,251.63,31.94,367.54,41.23,20.77,2.98,18.54,164.9,219.69,326.31,17.79,11,90.85
"Marian Hossa","MARIAN.HOSSA","12-13","CHI","R","L",1979-01-12,33,40,92.18,74.2,94.22,91.98,90.88,85.87,5.78,2.01,77.22,4.74,100.46,8.76,151.64,15.22,7.84,1.29,3.77,72.48,91.7,136.42,6.55,7.49,57.59
"Marian Hossa","MARIAN.HOSSA","13-14","CHI","R","L",1979-01-12,34,71,146.6,100,86.36,87.36,89.21,84.4,17.89,0,121.4,19.18,161.83,23.42,210.27,25.43,13.31,2.46,17.89,102.22,138.41,184.84,10.85,14.74,100
"Marian Hossa","MARIAN.HOSSA","14-15","CHI","R","L",1979-01-12,35,79,187.17,85.04,87.77,87.99,90.02,86.7,17.97,3.16,156.05,21.75,211.73,28.89,298.82,33.13,16.76,2.57,14.81,134.3,182.84,265.69,14.19,11.52,85.47
"Marian Hossa","MARIAN.HOSSA","15-16","CHI","R","L",1979-01-12,36,64,118.13,100,88.79,89.61,91.14,92.26,7,0,76.31,9.63,106.78,12.38,146.64,14.26,10.49,0.88,7,66.68,94.4,132.38,9.61,9.17,100
"Marian Hossa","MARIAN.HOSSA","16-17","CHI","R","L",1979-01-12,37,73,121.68,80.55,77.28,80.83,83.53,87.03,8.57,2.07,81.13,23.85,108.75,25.79,170.12,33.54,9.19,1.37,6.5,57.28,82.96,136.58,7.82,10.56,91.32
"Mark Barberio","MARK.BARBERIO","16-17","COL","D","L",1990-03-23,26,31,72.25,100,76.83,82.08,85.38,87.05,3.6,0,42.81,12.91,69.04,15.07,99.8,17.09,5.11,0.76,3.6,29.9,53.97,82.71,4.35,8.41,100
"Mark Eaton","MARK.EATON","09-10","PIT","D","L",1977-05-06,32,78,78.08,100,89.19,86.15,87.04,89.66,3.98,0,59.8,7.25,94.18,15.14,120.26,17.9,6.94,0.8,3.98,52.55,79.04,102.36,6.14,6.66,100
"Mark Fayne","MARK.FAYNE","11-12","N.J","D","R",1987-05-15,24,81,120.23,61.22,84.33,86.56,85.81,81.13,6,3.8,68.22,12.68,95.82,14.88,135.36,22.38,8.04,1.87,2.2,55.54,80.94,112.98,6.17,8.8,70.03
"Mark Giordano","MARK.GIORDANO","08-09","CGY","D","L",1983-10-03,24,56,159.37,78.15,85.79,85.18,85.22,86.33,14.63,4.09,127.92,21.18,169.12,29.42,218.71,37.94,14.84,2.35,10.54,106.74,139.7,180.77,12.49,11.44,80.69
"Mark Giordano","MARK.GIORDANO","09-10","CGY","D","L",1983-10-03,25,82,215.58,100,90.95,89.81,90.58,95.42,22.26,0,169.84,16.91,246.47,27.96,344.89,35.88,20.19,0.97,22.26,152.93,218.51,309.01,19.22,13.11,100
"Mark Giordano","MARK.GIORDANO","10-11","CGY","D","L",1983-10-03,26,82,276,92,83.11,83.57,84.16,90,32.99,2.87,217.64,44.24,323.25,63.53,424.1,79.85,29.16,3.24,30.12,173.4,259.72,344.25,25.92,15.16,93.51
"Mark Giordano","MARK.GIORDANO","11-12","CGY","D","L",1983-10-03,27,59,197.23,90.09,86.28,84.24,85.62,91.22,18.9,2.08,152.57,24.27,204.55,38.26,273.51,45.93,18.9,1.82,16.82,128.3,166.29,227.58,17.08,12.39,91.43
"Mark Giordano","MARK.GIORDANO","12-13","CGY","D","L",1983-10-03,28,46,99.77,100,92.35,90.93,92.94,96.6,12.71,0,79.03,6.55,111.04,11.07,146.11,11.1,9.1,0.32,12.71,72.48,99.97,135.01,8.78,16.08,100
"Mark Giordano","MARK.GIORDANO","13-14","CGY","D","L",1983-10-03,29,60,201.65,84.75,88.6,90.78,91.27,94.11,22.57,4.06,158.34,20.37,228.24,23.17,293.23,28.05,19.33,1.21,18.51,137.97,205.07,265.18,18.12,14.25,80.07
"Mark Giordano","MARK.GIORDANO","14-15","CGY","D","L",1983-10-03,30,60,185.83,92.68,84.03,85.54,87.41,90.92,14.94,1.18,150.84,28.66,220.87,37.35,309.49,44.58,20.62,2.06,13.76,122.18,183.52,264.91,18.56,9.9,95.88
"Mark Giordano","MARK.GIORDANO","15-16","CGY","D","L",1983-10-03,31,81,242.9,88.51,86.93,86.82,89,87.94,31.74,4.12,221.4,33.29,303.63,46.11,405.49,50.12,26.98,3.7,27.62,188.11,257.52,355.37,23.28,14.34,87.62
"Mark Giordano","MARK.GIORDANO","16-17","CGY","D","L",1983-10-03,32,79,196.95,100,86.69,86.54,87.62,91.02,24.1,0,162.93,25.01,235.22,36.59,313.25,44.25,21.28,2.1,24.1,137.92,198.63,269,19.18,14.79,100
"Mark Giordano","MARK.GIORDANO","17-18","CGY","D","L",1983-10-03,33,81,238.78,87.38,80.47,83.28,86.28,87.99,21.32,3.08,209.57,50.85,310.21,62.27,431.35,68.59,28.94,3.95,18.24,158.72,247.94,362.76,24.99,10.17,93.94
"Mark Giordano","MARK.GIORDANO","18-19","CGY","D","L",1983-10-03,34,76,247.5,90.8,80.23,83.58,85.28,88.07,40.45,4.1,241.44,59.49,333.26,65.45,430.04,74.25,34.63,4.69,36.35,181.95,267.81,355.79,29.94,16.75,93.11
