"Player","EH_ID","Season","Team","Position","Shoots","Birthday","Age","GP","TOI","TOI/GP","TOI%","OZS","NZS","DZS","OTF","OZF","NZF","DZF","Ice_F","Ice_A"
"Jason Pominville","JASON.POMINVILLE","12-13","BUF","R","R",1982-11-30,29,37,129.18,3.49,60.56,69,11,1,22,112,18,6,1,0
"Jason Pominville","JASON.POMINVILLE","13-14","MIN","R","R",1982-11-30,30,81,267.12,3.3,64.31,141,26,1,26,248,49,9,3,0
"Jason Pominville","JASON.POMINVILLE","14-15","MIN","R","R",1982-11-30,31,80,264.08,3.3,63.44,149,26,2,26,269,38,5,1,0
"Jason Pominville","JASON.POMINVILLE","15-16","MIN","R","R",1982-11-30,32,73,177.48,2.43,45.4,90,13,4,76,144,32,9,0,0
"Jason Pominville","JASON.POMINVILLE","16-17","MIN","R","R",1982-11-30,33,78,86.63,1.11,24.43,55,7,1,47,83,10,4,1,0
"Jason Pominville","JASON.POMINVILLE","17-18","BUF","R","R",1982-11-30,34,80,150.92,1.89,34.94,67,26,3,94,101,39,12,5,0
"Jason Pominville","JASON.POMINVILLE","18-19","BUF","R","R",1982-11-30,35,72,62.73,0.87,17.9,25,11,0,47,47,16,0,0,0
"Jason Spezza","JASON.SPEZZA","07-08","OTT","C","R",1983-06-13,24,75,304.85,4.06,64.41,92,58,3,48,202,99,6,0,0
"Jason Spezza","JASON.SPEZZA","08-09","OTT","C","R",1983-06-13,25,82,318.17,3.88,62.54,161,30,3,55,283,53,10,2,0
"Jason Spezza","JASON.SPEZZA","09-10","OTT","C","R",1983-06-13,26,59,213.42,3.62,64.4,102,19,0,29,185,33,8,1,0
"Jason Spezza","JASON.SPEZZA","10-11","OTT","C","R",1983-06-13,27,62,217.78,3.51,68.54,101,20,1,22,168,35,6,2,0
"Jason Spezza","JASON.SPEZZA","11-12","OTT","C","R",1983-06-13,28,79,249,3.15,60.71,125,29,2,73,213,53,8,2,0
"Jason Spezza","JASON.SPEZZA","13-14","OTT","C","R",1983-06-13,30,75,215.82,2.88,55.39,113,16,1,48,192,38,9,4,0
"Jason Spezza","JASON.SPEZZA","14-15","DAL","C","R",1983-06-13,31,81,284.67,3.51,61.35,166,33,3,55,294,56,17,9,0
"Jason Spezza","JASON.SPEZZA","15-16","DAL","C","R",1983-06-13,32,74,223.6,3.02,62.32,139,23,1,36,243,43,4,1,0
"Jason Spezza","JASON.SPEZZA","16-17","DAL","C","R",1983-06-13,33,67,174.13,2.6,55.03,101,16,3,59,168,25,8,2,0
"Jason Spezza","JASON.SPEZZA","17-18","DAL","C","R",1983-06-13,34,74,143.73,1.94,40.65,69,11,5,81,97,19,10,2,0
"Jason Spezza","JASON.SPEZZA","18-19","DAL","C","R",1983-06-13,35,74,160.98,2.18,50.94,87,10,3,66,137,13,9,4,0
"Jason Spezza","JASON.SPEZZA","19-20","TOR","C","R",1983-06-13,36,55,66.9,1.22,27.86,26,9,3,68,45,12,4,2,0
"Jason Williams","JASON.WILLIAMS","07-08","CHI","C","R",1980-08-11,27,41,155.18,3.78,56.61,69,28,1,30,110,47,7,2,0
"Jason Williams","JASON.WILLIAMS","08-09","ATL","C","R",1980-08-11,28,41,114.03,2.78,44.46,55,11,2,45,94,24,6,1,0
"Jason Williams","JASON.WILLIAMS","08-09","CBJ","C","R",1980-08-11,28,37,128.6,3.48,62.72,71,16,0,31,95,31,4,3,1
"Jason Williams","JASON.WILLIAMS","09-10","DET","C","R",1980-08-11,29,43,106.47,2.48,39.73,58,10,4,56,86,14,8,2,0
"Jason Zucker","JASON.ZUCKER","15-16","MIN","L","L",1992-01-16,23,69,60.73,0.88,17.19,28,8,3,43,48,12,6,0,0
"Jason Zucker","JASON.ZUCKER","17-18","MIN","L","L",1992-01-16,25,81,176.38,2.18,46.56,106,15,2,68,153,24,4,1,0
"Jason Zucker","JASON.ZUCKER","18-19","MIN","L","L",1992-01-16,26,78,179.75,2.3,45.97,85,22,0,72,141,37,6,2,0
"Jason Zucker","JASON.ZUCKER","19-20","MIN","L","L",1992-01-16,27,44,103.75,2.36,45.5,53,12,4,34,80,21,6,1,0
"Jay Bouwmeester","JAY.BOUWMEESTER","07-08","FLA","D","L",1983-09-27,23,80,288.43,3.61,60.52,116,71,6,75,226,115,21,6,0
"Jay Bouwmeester","JAY.BOUWMEESTER","08-09","FLA","D","L",1983-09-27,24,80,334.95,4.19,67.52,174,26,5,61,337,62,14,2,0
"Jay Bouwmeester","JAY.BOUWMEESTER","09-10","CGY","D","L",1983-09-27,25,82,228.27,2.78,51.32,104,21,7,79,205,48,16,4,0
"Jay Bouwmeester","JAY.BOUWMEESTER","10-11","CGY","D","L",1983-09-27,26,82,220.48,2.69,44.18,101,38,5,98,205,53,13,3,0
"Jay Bouwmeester","JAY.BOUWMEESTER","11-12","CGY","D","L",1983-09-27,27,80,177.83,2.22,42.57,63,24,6,100,135,55,10,1,0
"Jay Bouwmeester","JAY.BOUWMEESTER","13-14","STL","D","L",1983-09-27,29,82,172.45,2.1,39.57,49,20,5,150,78,32,11,1,0
"Jay Bouwmeester","JAY.BOUWMEESTER","14-15","STL","D","L",1983-09-27,30,68,89.22,1.31,27.2,32,19,8,72,50,24,13,0,0
"Jay Harrison","JAY.HARRISON","11-12","CAR","D","L",1982-11-03,28,71,95.23,1.34,25.47,38,15,3,65,67,21,4,0,0
"Jay Harrison","JAY.HARRISON","13-14","CAR","D","L",1982-11-03,30,66,68.4,1.04,18.78,33,9,1,49,51,16,3,0,0
"Jayson Megna","JAYSON.MEGNA","16-17","VAN","C","R",1990-02-01,26,57,53.12,0.93,19.51,21,5,3,33,27,9,5,2,0
"Jean-Gabriel Pageau","JEAN-GABRIEL.PAGEAU","15-16","OTT","C","R",1992-11-11,22,80,63.3,0.79,16.13,27,11,3,47,43,20,5,2,0
"Jean-Gabriel Pageau","JEAN-GABRIEL.PAGEAU","17-18","OTT","C","R",1992-11-11,24,78,79.07,1.01,20.37,48,4,1,26,76,6,3,1,0
"Jean-Gabriel Pageau","JEAN-GABRIEL.PAGEAU","19-20","OTT","C","R",1992-11-11,26,59,93.08,1.58,32.39,72,9,4,34,107,14,8,2,0
"Jeff Carter","JEFF.CARTER","07-08","PHI","C","R",1985-01-01,22,81,194.95,2.41,34.7,58,44,11,150,88,69,13,1,0
"Jeff Carter","JEFF.CARTER","08-09","PHI","C","R",1985-01-01,23,82,205.78,2.51,44.71,88,25,6,116,163,41,11,1,0
"Jeff Carter","JEFF.CARTER","09-10","PHI","C","R",1985-01-01,24,74,214.85,2.9,47.81,118,20,3,95,190,46,9,1,1
"Jeff Carter","JEFF.CARTER","10-11","PHI","C","R",1985-01-01,25,80,218.37,2.73,47.2,105,20,10,106,178,37,14,0,0
"Jeff Carter","JEFF.CARTER","11-12","CBJ","C","R",1985-01-01,26,38,134.28,3.53,53.46,80,13,5,35,138,25,8,1,0
"Jeff Carter","JEFF.CARTER","12-13","L.A","C","R",1985-01-01,27,48,114.13,2.38,48.49,77,10,1,40,115,16,2,0,0
"Jeff Carter","JEFF.CARTER","13-14","L.A","C","R",1985-01-01,28,70,221.18,3.16,53.41,147,22,1,58,222,41,8,4,0
"Jeff Carter","JEFF.CARTER","14-15","L.A","C","R",1985-01-01,29,80,211.92,2.65,53.59,150,12,2,30,244,30,7,4,1
"Jeff Carter","JEFF.CARTER","15-16","L.A","C","R",1985-01-01,30,74,170.4,2.3,47.91,105,14,1,44,174,22,5,3,0
"Jeff Carter","JEFF.CARTER","16-17","L.A","C","R",1985-01-01,31,80,221.13,2.76,55.94,141,18,2,34,240,39,7,2,0
"Jeff Carter","JEFF.CARTER","17-18","L.A","C","R",1985-01-01,32,26,77.18,2.97,59.13,42,13,0,7,82,17,5,1,0
"Jeff Carter","JEFF.CARTER","18-19","L.A","C","R",1985-01-01,33,73,175.42,2.4,53.19,101,18,2,42,168,34,9,2,0
"Jeff Carter","JEFF.CARTER","19-20","L.A","C","R",1985-01-01,34,59,105,1.78,39.06,47,4,0,82,77,10,8,4,0
"Jeff Finger","JEFF.FINGER","07-08","COL","D","R",1979-12-18,27,72,72.95,1.01,15.42,30,15,6,56,48,21,9,1,0
"Jeff Finger","JEFF.FINGER","08-09","TOR","D","R",1979-12-18,28,65,52.03,0.8,13.12,19,17,4,55,38,23,6,0,0
"Jeff Halpern","JEFF.HALPERN","07-08","DAL","C","R",1976-05-03,31,64,66.43,1.04,16.55,26,15,9,49,35,18,11,1,0
"Jeff Halpern","JEFF.HALPERN","08-09","T.B","C","R",1976-05-03,32,52,105.22,2.02,34.02,40,18,7,73,57,26,14,1,0
"Jeff Halpern","JEFF.HALPERN","09-10","T.B","C","R",1976-05-03,33,55,90.38,1.64,25.15,53,11,14,56,68,23,17,1,0
"Jeff Petry","JEFF.PETRY","10-11","EDM","D","R",1987-12-09,22,34,70.52,2.07,35.76,18,7,4,45,34,14,4,0,0
"Jeff Petry","JEFF.PETRY","11-12","EDM","D","R",1987-12-09,23,71,91.67,1.29,25.51,37,16,3,58,63,22,4,0,0
"Jeff Petry","JEFF.PETRY","13-14","EDM","D","R",1987-12-09,25,77,64.55,0.84,15.56,32,15,4,49,45,19,6,1,0
"Jeff Petry","JEFF.PETRY","14-15","EDM","D","R",1987-12-09,26,58,67.47,1.16,23.76,29,9,2,49,41,12,5,0,0
"Jeff Petry","JEFF.PETRY","15-16","MTL","D","R",1987-12-09,27,51,89.6,1.76,31.18,27,13,6,72,50,21,10,1,0
"Jeff Petry","JEFF.PETRY","16-17","MTL","D","R",1987-12-09,28,80,138.78,1.73,38.75,38,24,4,97,75,37,7,2,0
"Jeff Petry","JEFF.PETRY","17-18","MTL","D","R",1987-12-09,29,80,216.52,2.71,55.61,116,22,3,47,215,38,4,2,0
"Jeff Petry","JEFF.PETRY","18-19","MTL","D","R",1987-12-09,30,78,200.1,2.57,52.85,84,21,2,77,153,35,4,1,0
"Jeff Petry","JEFF.PETRY","19-20","MTL","D","R",1987-12-09,31,68,163.43,2.4,53.3,67,15,0,72,124,28,2,1,0
"Jeff Skinner","JEFF.SKINNER","10-11","CAR","C","L",1992-05-16,18,81,237.92,2.94,45.18,105,28,3,120,166,46,10,3,0
"Jeff Skinner","JEFF.SKINNER","11-12","CAR","C","L",1992-05-16,19,64,195.75,3.06,53.69,79,19,3,64,170,38,6,1,1
"Jeff Skinner","JEFF.SKINNER","12-13","CAR","C","L",1992-05-16,20,42,109.87,2.62,46.21,46,10,3,49,85,19,7,2,0
"Jeff Skinner","JEFF.SKINNER","13-14","CAR","C","L",1992-05-16,21,70,199.37,2.85,52.56,117,21,0,62,194,36,2,1,0
"Jeff Skinner","JEFF.SKINNER","14-15","CAR","C","L",1992-05-16,22,73,151.87,2.08,42.41,76,11,2,69,123,17,12,6,0
"Jeff Skinner","JEFF.SKINNER","15-16","CAR","C","L",1992-05-16,23,80,153.93,1.92,39,57,15,4,100,107,28,4,0,0
"Jeff Skinner","JEFF.SKINNER","16-17","CAR","C","L",1992-05-16,24,75,171.95,2.29,47.27,90,15,0,70,150,25,2,2,0
"Jeff Skinner","JEFF.SKINNER","17-18","CAR","C","L",1992-05-16,25,82,165.08,2.01,42.2,82,18,5,78,138,31,8,3,0
"Jeff Skinner","JEFF.SKINNER","18-19","BUF","C","L",1992-05-16,26,81,236.65,2.92,61.26,126,21,1,41,227,37,8,2,0
"Jeff Skinner","JEFF.SKINNER","19-20","BUF","C","L",1992-05-16,27,58,139.18,2.4,50.53,77,11,1,26,128,23,2,2,0
"Jeff Tambellini","JEFF.TAMBELLINI","08-09","NYI","L","L",1984-04-13,24,65,57.08,0.88,14.44,18,6,7,61,23,8,11,0,0
"Jeff Tambellini","JEFF.TAMBELLINI","10-11","VAN","L","L",1984-04-13,26,60,73.42,1.22,21.77,24,7,2,67,35,8,5,1,0
"Jeff Woywitka","JEFF.WOYWITKA","08-09","STL","D","L",1983-09-01,25,64,152.53,2.38,36.4,47,15,3,125,88,22,6,1,0
"Jeffrey Hamilton","JEFFREY.HAMILTON","07-08","CAR","C","R",1977-09-04,30,58,264.82,4.57,59.14,142,54,3,30,198,94,18,5,0
"Jere Lehtinen","JERE.LEHTINEN","07-08","DAL","R","R",1973-06-24,34,48,151.35,3.15,49.9,61,29,4,50,102,52,7,1,0
"Jere Lehtinen","JERE.LEHTINEN","08-09","DAL","R","R",1973-06-24,35,48,146.73,3.06,49.33,92,27,2,31,128,34,6,2,0
"Jeremy Roenick","JEREMY.ROENICK","07-08","S.J","C","R",1970-01-17,37,69,169.32,2.45,34.79,51,32,4,94,77,61,11,1,0
"Jesper Bratt","JESPER.BRATT","17-18","N.J","L","L",1998-07-30,19,72,150.2,2.09,40.52,80,9,6,70,118,22,11,2,1
"Jesper Bratt","JESPER.BRATT","18-19","N.J","L","L",1998-07-30,20,50,108.58,2.17,44.55,26,11,3,71,63,17,9,2,0
"Jesper Bratt","JESPER.BRATT","19-20","N.J","L","L",1998-07-30,21,59,119.42,2.02,36.1,46,12,4,78,70,20,6,0,0
"Jesperi Kotkaniemi","JESPERI.KOTKANIEMI","18-19","MTL","C","L",2000-07-06,18,75,151.43,2.02,40.81,76,13,5,80,115,30,5,0,0
"Jesperi Kotkaniemi","JESPERI.KOTKANIEMI","19-20","MTL","C","L",2000-07-06,19,35,61.55,1.76,35.86,30,6,1,26,47,11,4,1,0
"Jim Vandermeer","JIM.VANDERMEER","07-08","CHI","D","L",1980-02-21,27,25,50.65,2.03,31.35,19,10,3,22,28,12,5,1,0
"Jimmy Hayes","JIMMY.HAYES","13-14","FLA","R","R",1989-11-21,23,53,65.55,1.24,21.9,41,5,1,38,53,8,6,1,0
"Jimmy Hayes","JIMMY.HAYES","14-15","FLA","R","R",1989-11-21,24,72,134.73,1.87,39.4,82,5,9,73,120,18,13,0,0
"Jimmy Hayes","JIMMY.HAYES","15-16","BOS","R","R",1989-11-21,25,70,97,1.39,29.09,24,6,4,91,49,11,12,2,0
"Jimmy Hayes","JIMMY.HAYES","17-18","N.J","R","R",1989-11-21,27,32,51.03,1.59,28.4,31,4,0,14,45,9,3,3,0
"Jimmy Vesey","JIMMY.VESEY","16-17","NYR","L","L",1993-05-26,23,75,122.72,1.64,32.78,57,15,7,79,81,20,12,2,0
"Jimmy Vesey","JIMMY.VESEY","17-18","NYR","L","L",1993-05-26,24,77,114.62,1.49,31.45,41,12,2,80,61,18,8,5,0
"Jimmy Vesey","JIMMY.VESEY","18-19","NYR","L","L",1993-05-26,25,77,135.1,1.75,38.26,58,8,2,79,104,15,5,1,0
"Jiri Hudler","JIRI.HUDLER","07-08","DET","C","L",1984-01-04,23,81,210.85,2.6,38.01,91,36,5,136,134,54,13,2,0
"Jiri Hudler","JIRI.HUDLER","08-09","DET","C","L",1984-01-04,24,81,230.15,2.84,45.69,130,17,6,103,196,32,9,0,0
"Jiri Hudler","JIRI.HUDLER","10-11","DET","C","L",1984-01-04,26,71,157.05,2.21,39.46,82,11,4,86,119,22,5,0,0
"Jiri Hudler","JIRI.HUDLER","11-12","DET","C","L",1984-01-04,27,80,178.88,2.24,38.71,83,14,2,107,123,28,7,0,0
"Jiri Hudler","JIRI.HUDLER","12-13","CGY","C","L",1984-01-04,28,42,104.1,2.48,49.28,50,8,3,50,82,13,5,1,0
"Jiri Hudler","JIRI.HUDLER","13-14","CGY","C","L",1984-01-04,29,68,213,3.13,60.01,98,21,1,62,178,39,3,1,0
"Jiri Hudler","JIRI.HUDLER","14-15","CGY","R","L",1984-01-04,30,77,219.98,2.86,55.32,114,27,2,63,191,42,6,3,0
"Jiri Hudler","JIRI.HUDLER","15-16","CGY","R","L",1984-01-04,31,52,153.87,2.96,53.44,75,21,2,54,142,31,7,3,0
"Jiri Hudler","JIRI.HUDLER","16-17","DAL","R","L",1984-01-04,32,32,65.43,2.04,41.89,32,6,3,33,51,9,8,4,0
"Jiri Novotny","JIRI.NOVOTNY","07-08","CBJ","C","R",1983-08-12,24,65,155.7,2.4,35.83,62,25,4,98,98,38,6,1,1
"Jiri Tlusty","JIRI.TLUSTY","11-12","CAR","C","L",1988-03-16,23,78,65.08,0.83,15.3,51,10,3,38,63,17,4,0,0
"Jiri Tlusty","JIRI.TLUSTY","12-13","CAR","C","L",1988-03-16,24,48,122.08,2.54,46.85,80,13,3,31,123,26,8,2,0
"Jiri Tlusty","JIRI.TLUSTY","13-14","CAR","C","L",1988-03-16,25,67,102.08,1.52,27.6,66,18,1,48,90,27,2,1,0
"Jiri Tlusty","JIRI.TLUSTY","14-15","CAR","C","L",1988-03-16,26,49,112.72,2.3,45.11,71,10,1,40,103,19,7,4,0
"Joakim Lindstrom","JOAKIM.LINDSTROM","08-09","ARI","C","L",1983-12-05,24,44,102.32,2.33,35.22,55,10,3,39,87,14,8,2,0
"Jochen Hecht","JOCHEN.HECHT","07-08","BUF","C","L",1977-06-21,30,74,127.33,1.72,25.83,53,33,7,59,84,47,13,1,0
"Jochen Hecht","JOCHEN.HECHT","08-09","BUF","C","L",1977-06-21,31,69,80.4,1.17,18.34,37,9,2,69,51,14,6,0,0
"Jochen Hecht","JOCHEN.HECHT","09-10","BUF","C","L",1977-06-21,32,79,81.9,1.04,17.54,32,16,8,59,49,20,11,0,0
"Jochen Hecht","JOCHEN.HECHT","10-11","BUF","C","L",1977-06-21,33,67,96.82,1.45,26.78,31,20,8,66,56,30,8,0,0
"Joe Colborne","JOE.COLBORNE","13-14","CGY","C","L",1990-01-30,23,73,107.95,1.48,29.39,37,16,3,85,61,18,6,2,1
"Joe Colborne","JOE.COLBORNE","14-15","CGY","C","L",1990-01-30,24,63,90.53,1.44,27.62,45,5,2,66,59,13,5,2,0
"Joe Colborne","JOE.COLBORNE","15-16","CGY","C","L",1990-01-30,25,72,140.95,1.96,36.82,69,16,2,69,120,31,7,3,1
"Joe Corvo","JOE.CORVO","07-08","CAR","D","R",1977-06-20,30,23,122.8,5.34,68.02,52,19,3,13,94,39,5,1,0
"Joe Corvo","JOE.CORVO","07-08","OTT","D","R",1977-06-20,30,50,179.73,3.59,56.79,69,33,2,37,127,58,3,0,0
"Joe Corvo","JOE.CORVO","08-09","CAR","D","R",1977-06-20,31,80,333.95,4.17,60.37,184,36,10,49,332,66,22,1,0
"Joe Corvo","JOE.CORVO","09-10","CAR","D","R",1977-06-20,32,33,142.3,4.31,59.48,71,22,4,29,128,36,8,1,0
"Joe Corvo","JOE.CORVO","10-11","CAR","D","R",1977-06-20,33,81,310.25,3.83,58.91,163,46,2,66,283,72,10,2,0
"Joe Corvo","JOE.CORVO","11-12","BOS","D","R",1977-06-20,34,72,177.8,2.47,47.78,90,22,2,60,149,34,10,3,0
"Joe Corvo","JOE.CORVO","12-13","CAR","D","R",1977-06-20,35,40,87.53,2.19,39.93,39,8,3,34,72,10,6,2,0
"Joe Corvo","JOE.CORVO","13-14","OTT","D","R",1977-06-20,36,25,50.48,2.02,38.16,28,8,1,15,46,12,2,0,0
"Joe Pavelski","JOE.PAVELSKI","07-08","S.J","C","R",1984-07-11,23,82,172.42,2.1,30.48,72,38,2,65,116,60,6,1,0
"Joe Pavelski","JOE.PAVELSKI","08-09","S.J","C","R",1984-07-11,24,80,226.52,2.83,44.36,109,22,5,113,187,42,11,3,0
"Joe Pavelski","JOE.PAVELSKI","09-10","S.J","C","R",1984-07-11,25,65,192.43,2.96,51.49,123,17,2,47,202,25,7,1,0
"Joe Pavelski","JOE.PAVELSKI","10-11","S.J","C","R",1984-07-11,26,73,232.52,3.19,59.06,144,23,6,32,274,45,9,0,0
"Joe Pavelski","JOE.PAVELSKI","11-12","S.J","C","R",1984-07-11,27,82,247.02,3.01,57.6,165,35,4,65,280,54,14,1,0
"Joe Pavelski","JOE.PAVELSKI","12-13","S.J","C","R",1984-07-11,28,46,138.95,3.02,53.42,95,6,2,34,150,20,7,2,0
"Joe Pavelski","JOE.PAVELSKI","13-14","S.J","C","R",1984-07-11,29,82,271.38,3.31,59.62,169,27,2,44,301,51,6,0,0
"Joe Pavelski","JOE.PAVELSKI","14-15","S.J","C","R",1984-07-11,30,82,251.87,3.07,62.19,145,24,3,43,277,43,19,8,0
"Joe Pavelski","JOE.PAVELSKI","15-16","S.J","C","R",1984-07-11,31,79,276.92,3.51,65.13,167,32,3,36,299,59,12,4,0
"Joe Pavelski","JOE.PAVELSKI","16-17","S.J","C","R",1984-07-11,32,81,245.87,3.04,62.67,148,23,1,28,256,49,7,2,0
"Joe Pavelski","JOE.PAVELSKI","17-18","S.J","C","R",1984-07-11,33,80,245.57,3.07,62.5,140,20,2,41,260,47,11,8,0
"Joe Pavelski","JOE.PAVELSKI","18-19","S.J","C","R",1984-07-11,34,73,210.02,2.88,62.87,127,26,1,11,234,40,7,2,1
"Joe Pavelski","JOE.PAVELSKI","19-20","DAL","C","R",1984-07-11,35,63,168.55,2.68,55.86,89,15,1,52,167,29,4,2,0
"Joe Sakic","JOE.SAKIC","07-08","COL","C","L",1969-07-07,38,44,221.8,5.04,70.46,73,32,2,29,161,64,8,3,0
"Joe Sakic","JOE.SAKIC","08-09","COL","C","L",1969-07-07,39,15,65.1,4.34,61.95,30,6,0,2,58,10,0,0,0
"Joe Thornton","JOE.THORNTON","07-08","S.J","C","L",1979-07-02,28,82,359.12,4.38,63.48,94,82,2,66,220,136,14,3,0
"Joe Thornton","JOE.THORNTON","08-09","S.J","C","L",1979-07-02,29,82,276.68,3.37,53.17,158,36,4,71,267,59,6,1,0
"Joe Thornton","JOE.THORNTON","09-10","S.J","C","L",1979-07-02,30,77,262.93,3.41,58.85,159,29,3,63,274,44,7,1,0
"Joe Thornton","JOE.THORNTON","10-11","S.J","C","L",1979-07-02,31,79,249.87,3.16,60.94,155,35,2,55,273,59,7,1,0
"Joe Thornton","JOE.THORNTON","11-12","S.J","C","L",1979-07-02,32,82,260.28,3.17,60.69,160,35,3,60,273,53,12,1,0
"Joe Thornton","JOE.THORNTON","12-13","S.J","C","L",1979-07-02,33,46,151.83,3.3,58.37,94,10,4,29,156,22,10,3,1
"Joe Thornton","JOE.THORNTON","13-14","S.J","C","L",1979-07-02,34,82,287.3,3.5,63.12,182,29,2,47,301,51,8,2,0
"Joe Thornton","JOE.THORNTON","14-15","S.J","C","L",1979-07-02,35,78,233.23,2.99,62.27,132,22,3,39,252,39,17,5,0
"Joe Thornton","JOE.THORNTON","15-16","S.J","C","L",1979-07-02,36,79,278.3,3.52,65.45,178,30,2,35,296,57,11,4,0
"Joe Thornton","JOE.THORNTON","16-17","S.J","C","L",1979-07-02,37,79,238.72,3.02,62.44,161,24,1,28,250,49,7,2,0
"Joe Thornton","JOE.THORNTON","17-18","S.J","C","L",1979-07-02,38,46,153.33,3.33,62.36,99,10,1,30,161,24,8,6,0
"Joe Thornton","JOE.THORNTON","18-19","S.J","C","L",1979-07-02,39,71,132.48,1.87,40.75,37,10,3,103,70,19,6,1,0
"Joe Thornton","JOE.THORNTON","19-20","S.J","C","L",1979-07-02,40,69,137.45,1.99,46.77,52,16,4,65,94,24,7,2,0
"Joel Armia","JOEL.ARMIA","16-17","WPG","R","R",1993-05-31,23,57,50.02,0.88,16.82,20,10,0,35,28,13,1,0,0
"Joel Armia","JOEL.ARMIA","17-18","WPG","R","R",1993-05-31,24,77,117.53,1.53,29.39,65,18,3,72,96,24,5,1,0
"Joel Armia","JOEL.ARMIA","18-19","MTL","R","R",1993-05-31,25,53,94.07,1.77,37.09,62,14,0,37,95,22,0,0,1
"Joel Armia","JOEL.ARMIA","19-20","MTL","R","R",1993-05-31,26,55,114.25,2.08,48.01,68,10,0,39,109,17,4,2,0
"Joel Farabee","JOEL.FARABEE","19-20","PHI","L","L",2000-02-25,19,52,67.93,1.31,26.57,44,6,1,35,63,8,3,0,0
"Joel Perrault","JOEL.PERRAULT","07-08","ARI","C","R",1983-04-06,24,48,100.95,2.1,32.91,41,33,5,47,70,46,6,2,1
"Joel Ward","JOEL.WARD","08-09","NSH","R","R",1980-12-02,27,79,90.62,1.15,19,54,17,5,55,68,23,7,2,0
"Joel Ward","JOEL.WARD","09-10","NSH","R","R",1980-12-02,28,70,75.68,1.08,19.13,40,8,4,53,52,14,7,0,0
"Joel Ward","JOEL.WARD","10-11","NSH","R","R",1980-12-02,29,77,118.15,1.53,28.05,57,14,3,85,78,22,4,0,0
"Joel Ward","JOEL.WARD","12-13","WSH","R","R",1980-12-02,31,39,68.92,1.77,32.97,33,9,1,47,46,19,3,0,0
"Joel Ward","JOEL.WARD","13-14","WSH","R","R",1980-12-02,32,81,135.55,1.67,31.62,66,25,4,94,97,37,14,4,0
"Joel Ward","JOEL.WARD","14-15","WSH","R","R",1980-12-02,33,80,113.12,1.41,31.83,51,12,4,92,77,26,8,2,0
"Joel Ward","JOEL.WARD","15-16","S.J","R","R",1980-12-02,34,76,159.4,2.1,39.22,70,21,7,100,105,40,15,2,0
"Joel Ward","JOEL.WARD","16-17","S.J","R","R",1980-12-02,35,78,95.73,1.23,26.05,28,4,3,89,47,10,9,2,0
"Joffrey Lupul","JOFFREY.LUPUL","07-08","PHI","R","R",1983-09-23,23,56,192.5,3.44,50.86,71,50,3,57,136,82,7,2,0
"Joffrey Lupul","JOFFREY.LUPUL","08-09","PHI","R","R",1983-09-23,24,79,174.6,2.21,38.78,82,21,8,111,135,31,10,0,0
"Joffrey Lupul","JOFFREY.LUPUL","10-11","ANA","R","R",1983-09-23,26,25,53.17,2.13,38.09,29,7,3,27,47,10,6,1,0
"Joffrey Lupul","JOFFREY.LUPUL","10-11","TOR","R","R",1983-09-23,26,28,95.4,3.41,51.67,40,5,4,42,70,17,9,1,0
"Joffrey Lupul","JOFFREY.LUPUL","11-12","TOR","R","R",1983-09-23,27,64,204.68,3.2,59.06,120,27,2,30,188,38,9,2,0
"Joffrey Lupul","JOFFREY.LUPUL","13-14","TOR","R","R",1983-09-23,29,68,163.62,2.41,47.29,81,25,8,59,119,31,16,2,0
"Joffrey Lupul","JOFFREY.LUPUL","14-15","TOR","R","R",1983-09-23,30,55,116.75,2.12,38.22,49,23,5,67,72,29,6,1,0
"Joffrey Lupul","JOFFREY.LUPUL","15-16","TOR","R","R",1983-09-23,31,44,101.93,2.32,45.86,58,13,1,41,91,16,5,0,0
"Johan Franzen","JOHAN.FRANZEN","07-08","DET","C","L",1979-12-23,27,72,180.07,2.5,36.01,85,41,4,83,138,57,9,1,0
"Johan Franzen","JOHAN.FRANZEN","08-09","DET","C","L",1979-12-23,28,70,183.47,2.62,42.81,93,20,2,88,148,32,5,1,0
"Johan Franzen","JOHAN.FRANZEN","09-10","DET","C","L",1979-12-23,29,26,75.37,2.9,49.09,59,5,1,21,73,6,1,0,0
"Johan Franzen","JOHAN.FRANZEN","10-11","DET","C","L",1979-12-23,30,74,200.75,2.71,47.73,111,19,6,76,172,35,10,0,0
"Johan Franzen","JOHAN.FRANZEN","11-12","DET","C","L",1979-12-23,31,76,219.3,2.89,49.54,124,30,5,74,174,47,11,1,0
"Johan Franzen","JOHAN.FRANZEN","12-13","DET","C","L",1979-12-23,32,41,133.38,3.25,54.05,79,13,2,42,118,22,11,3,0
"Johan Franzen","JOHAN.FRANZEN","13-14","DET","C","L",1979-12-23,33,53,143.4,2.71,50.81,72,19,3,51,105,27,3,0,0
"Johan Franzen","JOHAN.FRANZEN","14-15","DET","C","L",1979-12-23,34,33,102.03,3.09,50.1,66,14,1,26,99,17,4,0,0
"Johan Larsson","JOHAN.LARSSON","15-16","BUF","L","L",1992-07-25,23,72,71.02,0.99,19.58,28,12,2,52,41,15,5,1,1
"John-Michael Liles","JOHN-MICHAEL.LILES","07-08","COL","D","L",1980-11-25,26,81,360.15,4.45,67.71,139,71,3,58,248,103,16,8,0
