,event,penalty,penalty_on,drew_by,coords,period,period_time_remaining,penalty_team,drew_by_team,home_team,home_team_id,away_team,away_team_id,home_goals,away_goals,penalty_on_id,drew_by_id,description
227,penalty,Holding,William Carrier,Jake Muzzin,[ 54. -40.],3,13:16,VGK,TOR,TOR,10,VGK,54,0,1,8477478,8474162.0,William Carrier Holding against Jake Muzzin
244,penalty,Slashing,Trevor Moore,Brayden McNabb,[-70.  34.],3,10:27,TOR,VGK,TOR,10,VGK,54,1,1,8479675,8475188.0,Trevor Moore Slashing against Brayden McNabb
291,penalty,Too many men on the ice,Alexander Kerfoot,,[ 8. 40.],3,01:21,TOR,VGK,TOR,10,VGK,54,1,1,8477021,,Too many men/ice served by Alexander Kerfoot
14,penalty,Hooking,Jonathan Marchessault,T.J. Oshie,[-83.  10.],1,16:22,VGK,WSH,WSH,15,VGK,54,1,0,8476539,8471698.0,Jonathan Marchessault Hooking against T.J. Oshie
71,penalty,Hooking,Cody Eakin,Evgeny Kuznetsov,[-66.  21.],1,05:35,VGK,WSH,WSH,15,VGK,54,2,1,8475236,8475744.0,Cody Eakin Hooking against Evgeny Kuznetsov
83,penalty,Interference,Radko Gudas,Tomas Nosek,[ 43. -39.],1,00:03,WSH,VGK,WSH,15,VGK,54,2,1,8475462,8477931.0,Radko Gudas Interference against Tomas Nosek
134,penalty,Tripping,Tomas Nosek,Dmitry Orlov,[-91.  21.],2,07:33,VGK,WSH,WSH,15,VGK,54,2,1,8477931,8475200.0,Tomas Nosek Tripping against Dmitry Orlov
147,penalty,Elbowing,Garnet Hathaway,Max Pacioretty,[-39. -38.],2,04:00,WSH,VGK,WSH,15,VGK,54,3,1,8477903,8474157.0,Garnet Hathaway Elbowing against Max Pacioretty
167,penalty,Roughing,T.J. Oshie,Brayden McNabb,[ 91. -28.],2,00:00,WSH,VGK,WSH,15,VGK,54,3,2,8471698,8475188.0,T.J. Oshie Roughing against Brayden McNabb
187,penalty,Too many men on the ice,Alex Ovechkin,,[21. 39.],3,14:15,WSH,VGK,WSH,15,VGK,54,3,2,8471214,,Too many men/ice served by Alex Ovechkin
